steps,rewards,epsilon
360,0.0,0.97624
720,0.1,0.94825
1080,0.0,0.92112
1440,0.0,0.89482
1800,0.0,0.86934
2141,0.1475,0.84592
2501,0.0,0.82194
2781,0.3,0.8038
3022,0.3975,0.78854
3382,0.0,0.76632
3742,0.0,0.74479
4102,0.0,0.72392
4462,0.0,0.7037
4822,0.0,0.6841
5182,0.0,0.6651
5513,0.1725,0.64815
5834,0.1975,0.63217
5987,0.6175,0.6247
6103,0.71,0.61911
6463,0.0,0.60211
6755,0.27,0.58871
7115,0.0,0.57265
7352,0.4075,0.56235
7712,0.0,0.54709
8072,0.0,0.53231
8432,0.0,0.51799
8792,0.0,0.5041
8927,0.6625,0.499
9050,0.6925,0.49441
9089,0.9025,0.49297
9216,0.6825,0.48829
9304,0.78,0.48509
9434,0.675,0.48039
9509,0.8125,0.47771
9577,0.83,0.47529
9650,0.8175,0.47271
9687,0.9075,0.4714
9796,0.7275,0.46759
9865,0.8275,0.4652
9891,0.935,0.4643
9965,0.815,0.46175
9977,0.97,0.46134
9995,0.955,0.46073
10008,0.9675,0.46028
10025,0.9575,0.4597
10056,0.9225,0.45865
10079,0.9425,0.45786
10096,0.9575,0.45729
10139,0.8925,0.45583
10170,0.9225,0.45479
10196,0.935,0.45391
10233,0.9075,0.45267
10270,0.9075,0.45143
10294,0.94,0.45063
10307,0.9675,0.4502
10355,0.88,0.4486
10371,0.96,0.44807
10387,0.96,0.44754
10418,0.9225,0.44652
10454,0.91,0.44534
10482,0.93,0.44442
10502,0.95,0.44376
10527,0.9375,0.44294
10557,0.925,0.44197
10570,0.9675,0.44154
10590,0.95,0.44089
10608,0.955,0.44031
10637,0.9275,0.43937
10662,0.9375,0.43856
10676,0.965,0.43811
10704,0.93,0.43721
10718,0.965,0.43676
10747,0.9275,0.43583
10758,0.9725,0.43547
10773,0.9625,0.43499
10798,0.9375,0.4342
10820,0.945,0.4335
10856,0.91,0.43235
10878,0.945,0.43165
10888,0.975,0.43134
10898,0.975,0.43102
10915,0.9575,0.43048
10931,0.96,0.42998
10960,0.9275,0.42906
10981,0.9475,0.4284
11001,0.95,0.42778
11043,0.895,0.42646
11071,0.93,0.42559
11093,0.945,0.42491
11111,0.955,0.42435
11123,0.97,0.42397
11141,0.955,0.42342
11163,0.945,0.42274
11183,0.95,0.42212
11198,0.9625,0.42166
11216,0.955,0.4211
11262,0.885,0.41969
11288,0.935,0.41889
11306,0.955,0.41834
11329,0.9425,0.41764
11346,0.9575,0.41712
11370,0.94,0.4164
11389,0.9525,0.41582
11405,0.96,0.41533
11420,0.9625,0.41488
11438,0.955,0.41434
11458,0.95,0.41373
11475,0.9575,0.41322
11503,0.93,0.41238
11523,0.95,0.41178
11551,0.93,0.41094
11579,0.93,0.41011
11658,0.8025,0.40776
11673,0.9625,0.40732
11696,0.9425,0.40664
11816,0.7,0.40312
11848,0.92,0.40218
11934,0.785,0.39969
11947,0.9675,0.39931
11995,0.88,0.39793
12031,0.91,0.3969
12045,0.965,0.3965
12114,0.8275,0.39453
12143,0.9275,0.3937
12176,0.9175,0.39277
12194,0.955,0.39226
12210,0.96,0.39181
12222,0.97,0.39147
12237,0.9625,0.39104
12251,0.965,0.39065
12277,0.935,0.38992
12288,0.9725,0.38961
12306,0.955,0.38911
12326,0.95,0.38855
12345,0.9525,0.38802
12383,0.905,0.38696
12403,0.95,0.38641
12427,0.94,0.38574
12517,0.775,0.38326
12548,0.9225,0.38241
12573,0.9375,0.38172
12605,0.92,0.38085
12638,0.9175,0.37995
12671,0.9175,0.37905
12686,0.9625,0.37865
12699,0.9675,0.3783
12718,0.9525,0.37778
12739,0.9475,0.37722
12752,0.9675,0.37687
12772,0.95,0.37633
12787,0.9625,0.37593
12806,0.9525,0.37542
12846,0.9,0.37435
12856,0.975,0.37408
12913,0.8575,0.37256
12929,0.96,0.37214
12941,0.97,0.37182
12960,0.9525,0.37132
12977,0.9575,0.37087
12992,0.9625,0.37047
13020,0.93,0.36973
13036,0.96,0.36931
13052,0.96,0.36889
13066,0.965,0.36853
13083,0.9575,0.36808
13096,0.9675,0.36774
13139,0.8925,0.36662
13189,0.875,0.36532
13213,0.94,0.3647
13353,0.65,0.3611
13401,0.88,0.35988
13413,0.97,0.35957
13429,0.96,0.35917
13450,0.9475,0.35863
13480,0.925,0.35787
13501,0.9475,0.35734
13521,0.95,0.35684
13572,0.8725,0.35556
13584,0.97,0.35526
13607,0.9425,0.35468
