steps,rewards,epsilon
360,0.0,0.97624
720,0.0,0.94825
1080,0.0,0.92112
1440,0.0,0.89482
1800,0.0,0.86934
2160,0.0,0.84464
2520,0.0,0.82069
2880,0.0,0.79749
3240,0.0,0.775
3600,0.0,0.7532
3960,0.0,0.73208
4320,0.0,0.7116
4680,0.0,0.69176
5040,0.0,0.67252
5400,0.0,0.65388
5760,0.0,0.63581
6120,0.0,0.6183
6480,0.0,0.60132
6840,0.0,0.58487
7200,0.0,0.56893
7414,0.465,0.55968
7774,0.0,0.54452
8134,0.0,0.52981
8426,0.27,0.51822
8786,0.0,0.50433
9146,0.0,0.49086
9506,0.0,0.47781
9866,0.0,0.46516
10226,0.0,0.4529
10586,0.0,0.44102
10946,0.0,0.42951
11306,0.0,0.41834
11548,0.395,0.41103
11619,0.8225,0.40892
11979,0.0,0.39839
12194,0.4625,0.39226
12227,0.9175,0.39133
12293,0.835,0.38947
12389,0.76,0.38679
12448,0.8525,0.38516
12496,0.88,0.38383
12564,0.83,0.38197
12665,0.7475,0.37922
12780,0.7125,0.37611
12839,0.8525,0.37453
12869,0.925,0.37373
12884,0.9625,0.37333
12937,0.8675,0.37193
12964,0.9325,0.37121
12988,0.94,0.37058
13057,0.8275,0.36876
13112,0.8625,0.36732
13135,0.9425,0.36672
13157,0.945,0.36615
13189,0.92,0.36532
13218,0.9275,0.36457
13237,0.9525,0.36408
13318,0.7975,0.362
13347,0.9275,0.36125
13362,0.9625,0.36087
13392,0.925,0.36011
13413,0.9475,0.35957
13447,0.915,0.35871
13467,0.95,0.3582
13482,0.9625,0.35782
13521,0.9025,0.35684
13534,0.9675,0.35651
13568,0.915,0.35566
13621,0.8675,0.35433
13648,0.9325,0.35366
13665,0.9575,0.35324
13692,0.9325,0.35257
13792,0.75,0.3501
13813,0.9475,0.34958
13886,0.8175,0.34779
13968,0.795,0.3458
14061,0.7675,0.34356
14075,0.965,0.34322
14115,0.9,0.34226
14133,0.955,0.34183
14180,0.8825,0.34071
14210,0.925,0.34
14236,0.935,0.33938
14259,0.9425,0.33884
14275,0.96,0.33846
14330,0.8625,0.33717
14351,0.9475,0.33668
14378,0.9325,0.33604
14403,0.9375,0.33546
14430,0.9325,0.33483
14477,0.8825,0.33374
14495,0.955,0.33332
14512,0.9575,0.33293
14560,0.88,0.33182
14582,0.945,0.33132
14606,0.94,0.33077
14652,0.885,0.32971
14668,0.96,0.32935
14728,0.85,0.32798
14749,0.9475,0.32751
14778,0.9275,0.32685
14848,0.825,0.32528
14879,0.9225,0.32458
14895,0.96,0.32423
14928,0.9175,0.32349
14977,0.8775,0.3224
14990,0.9675,0.32211
15006,0.96,0.32176
15026,0.95,0.32131
15053,0.9325,0.32072
15075,0.945,0.32023
15095,0.95,0.31979
15114,0.9525,0.31938
15128,0.965,0.31907
15142,0.965,0.31876
15175,0.9175,0.31804
15193,0.955,0.31765
15224,0.9225,0.31698
15255,0.9225,0.3163
15312,0.8575,0.31507
15338,0.935,0.31451
15352,0.965,0.31421
15384,0.92,0.31353
15402,0.955,0.31314
15430,0.93,0.31254
15458,0.93,0.31195
15472,0.965,0.31165
15504,0.92,0.31097
15528,0.94,0.31046
15550,0.945,0.31
15575,0.9375,0.30947
15587,0.97,0.30922
15609,0.945,0.30875
15624,0.9625,0.30844
15646,0.945,0.30798
15698,0.87,0.30689
15793,0.7625,0.30492
15843,0.875,0.30389
15888,0.8875,0.30296
15965,0.8075,0.30139
16052,0.7825,0.29962
16084,0.92,0.29898
16258,0.565,0.2955
16280,0.945,0.29506
16313,0.9175,0.29441
16330,0.9575,0.29407
16432,0.745,0.29207
16792,0.0,0.28514
16887,0.7625,0.28334
16962,0.8125,0.28194
16986,0.94,0.28149
17020,0.915,0.28086
17081,0.8475,0.27973
17149,0.83,0.27848
17194,0.8875,0.27765
17257,0.8425,0.2765
17282,0.9375,0.27605
17314,0.92,0.27546
17330,0.96,0.27518
17363,0.9175,0.27458
17391,0.93,0.27407
17414,0.9425,0.27366
17470,0.86,0.27266
17495,0.9375,0.27221
17521,0.935,0.27175
17543,0.945,0.27136
17557,0.965,0.27111
17574,0.9575,0.27081
17592,0.955,0.27049
17624,0.92,0.26992
17637,0.9675,0.2697
17658,0.9475,0.26933
17675,0.9575,0.26903
17783,0.73,0.26714
17804,0.9475,0.26678
17834,0.925,0.26625
17871,0.9075,0.26562
17900,0.9275,0.26512
17912,0.97,0.26491
17925,0.9675,0.26469
17940,0.9625,0.26443
17951,0.9725,0.26424
17967,0.96,0.26397
17982,0.9625,0.26371
17995,0.9675,0.26349
18078,0.7925,0.26207
18101,0.9425,0.26169
18121,0.95,0.26135
18139,0.955,0.26104
18167,0.93,0.26057
18206,0.9025,0.25992
18221,0.9625,0.25967
18232,0.9725,0.25948
18252,0.95,0.25915
18263,0.9725,0.25896
