steps,extrinsic,intrinsic,loss,td_std
313,0.0,0.0047502,0.00025452000000000005,0.00624444
363,0.0,0.0047431999999999995,1.4360000000000001e-05,0.00344436
413,0.0,0.00473728,2.2000000000000003e-05,0.00378308
463,0.0,0.004734080000000001,2.4240000000000002e-05,0.00380272
513,0.0,0.00473388,2.8400000000000003e-05,0.004068639999999999
563,0.0,0.00473296,3.504e-05,0.00457
613,0.0,0.00473236,3.52e-05,0.0046070799999999995
663,0.0,0.004732040000000001,2.82e-05,0.00415144
713,0.0,0.0047294799999999994,2.768e-05,0.00407048
763,0.0,0.00472496,3.0279999999999998e-05,0.00421536
813,0.0,0.00463076,2.9320000000000004e-05,0.00415868
863,0.0,0.0045286400000000004,3.348e-05,0.00450028
913,0.0,0.004426439999999999,3.796e-05,0.00473876
963,0.0,0.00432428,3.7159999999999997e-05,0.0047107600000000005
1013,0.0,0.004225,3.240000000000001e-05,0.00441188
1063,0.0,0.00421624,3.0200000000000002e-05,0.00428636
1113,0.0,0.0042172799999999995,3.0640000000000005e-05,0.0042032400000000004
1163,0.0,0.004218080000000001,2.6920000000000003e-05,0.0039926399999999996
1213,0.0,0.0042198800000000005,2.792e-05,0.004044440000000001
1263,0.0,0.0042202,3.028e-05,0.0042308400000000005
1313,0.0,0.00422064,3.388e-05,0.00453108
1363,0.0,0.0042203200000000005,3.016e-05,0.00435348
1413,0.0,0.00422036,3.076e-05,0.00441768
1463,0.0,0.00421948,3.0440000000000003e-05,0.00444172
1513,0.0,0.00415228,3.0839999999999996e-05,0.00443232
1563,0.0,0.00406812,2.9480000000000002e-05,0.0042323199999999995
1613,0.0,0.00398196,3.204e-05,0.00444872
1663,0.0,0.00389744,2.992e-05,0.00430932
1713,0.0,0.0038133600000000004,3.168000000000001e-05,0.004374240000000001
1763,0.0,0.00379496,3.1240000000000006e-05,0.00434032
1813,0.0,0.00379412,3.268e-05,0.00449844
1863,0.0,0.0037941599999999995,3.12e-05,0.00436928
1913,0.0,0.00379372,3.516e-05,0.00464
1963,0.0,0.00379248,3.548e-05,0.004737159999999999
2013,0.0,0.0037914,3.56e-05,0.00478336
2063,0.0,0.00379052,3.308000000000001e-05,0.0046064
2113,0.0,0.0037889600000000005,3.56e-05,0.00479436
2163,0.0,0.0037871199999999997,3.5039999999999997e-05,0.00475864
2213,0.0,0.0037312,4.124e-05,0.005208720000000001
2263,0.0,0.00365268,4.236e-05,0.0053064
2313,0.0,0.00357444,4.448e-05,0.00549028
2363,0.0,0.0034966,4.452e-05,0.00551672
2413,0.0,0.00341872,4.4160000000000004e-05,0.005526120000000001
2463,0.0,0.00339644,3.9200000000000004e-05,0.00516852
2513,0.0,0.0033966400000000002,3.820000000000001e-05,0.005063799999999999
