steps,extrinsic,intrinsic,loss,td_std
313,0.0,0.00477084,0.00087864,0.01294532
363,0.0,0.00476928,2.7000000000000002e-05,0.00472652
413,0.0,0.004768079999999999,1.768e-05,0.0039898
463,0.0,0.00476992,1.552e-05,0.0036868400000000003
513,0.0,0.0047722,1.616e-05,0.0036718000000000002
563,0.0,0.0047754,1.66e-05,0.0036936
613,0.0,0.0047762,1.7e-05,0.00372464
663,0.0,0.00477504,1.4439999999999999e-05,0.0034908
713,0.0,0.00477356,1.3520000000000001e-05,0.00335656
763,0.0,0.0047738400000000005,1.3320000000000001e-05,0.00332104
813,0.0,0.00467968,1.3480000000000001e-05,0.0032584
863,0.0,0.00457608,1.5e-05,0.00333704
913,0.0,0.00447312,1.472e-05,0.0032510399999999997
963,0.0,0.00437128,1.54e-05,0.00330348
1013,0.0,0.0042686,1.528e-05,0.00325824
1063,0.0,0.00425908,1.5080000000000001e-05,0.00325692
1113,0.0,0.00426024,1.516e-05,0.00329264
1163,0.0,0.00426172,1.876e-05,0.00369292
1213,0.0,0.0042625200000000005,2e-05,0.0038528
1263,0.0,0.00426248,2.26e-05,0.004177800000000001
1313,0.0,0.004263080000000001,2.568e-05,0.00447996
1363,0.0,0.00426308,2.6360000000000002e-05,0.00456468
1413,0.0,0.004263,2.54e-05,0.00446348
1463,0.0,0.004262040000000001,2.52e-05,0.0044162
1513,0.0,0.0041734,2.556e-05,0.00439192
1563,0.0,0.00406148,2.4959999999999998e-05,0.0043254
1613,0.0,0.0039507200000000004,2.384e-05,0.004207
1663,0.0,0.0038375600000000003,2.316e-05,0.0040754
1713,0.0,0.00372464,2.6240000000000003e-05,0.004342639999999999
1763,0.0,0.0037018800000000003,2.3120000000000002e-05,0.0040374
1813,0.0,0.0037030400000000003,2.2360000000000003e-05,0.0039064
1863,0.0,0.00370136,2.512e-05,0.004050359999999999
1913,0.0,0.0037,2.6240000000000003e-05,0.00417932
1963,0.0,0.0037013600000000003,2.5840000000000003e-05,0.00410224
2013,0.0,0.00369952,2.824e-05,0.00433568
2063,0.0,0.00369804,2.86e-05,0.0043532
2113,3.624e-05,0.0037002400000000005,3.224e-05,0.00441356
2163,5.436000000000001e-05,0.00370296,3.556e-05,0.00453036
2213,7.248e-05,0.00362032,3.48e-05,0.004425479999999999
2263,0.00010872000000000002,0.0035026,3.827999999999999e-05,0.00445776
2313,0.0001812,0.00338224,4.544e-05,0.0047866
2363,0.00018120000000000004,0.0032624,4.387999999999999e-05,0.00485372
2413,0.00016308,0.00314052,3.824e-05,0.00449312
2463,0.00014495999999999997,0.00310368,3.6120000000000007e-05,0.004324120000000001
2513,0.0001812,0.00310432,3.816000000000001e-05,0.004507000000000001
2563,0.00014496,0.0031046800000000003,3.764e-05,0.0046746800000000005
2613,0.00012684,0.0031031599999999998,3.444e-05,0.00445228
2663,0.0001812,0.0031039199999999996,4.104e-05,0.0048785600000000005
2713,0.0001812,0.0031031199999999996,4.088e-05,0.004930919999999999
2763,0.00010872000000000002,0.0031032,3.496e-05,0.00464468
2813,0.00012684,0.0031041999999999997,3.4840000000000005e-05,0.0046142399999999995
2863,0.00014555999999999998,0.0031043999999999998,3.8560000000000004e-05,0.004962759999999999
2913,9.120000000000001e-05,0.00303672,3.716e-05,0.00498752
2963,0.00012179999999999999,0.00292292,4.212e-05,0.00540564
3013,0.00015864,0.00280704,4.548e-05,0.0056444799999999995
3063,0.00014736,0.00269248,4.2959999999999995e-05,0.00551884
3113,0.00011676,0.00257792,3.8440000000000005e-05,0.00522684
3163,0.00012924,0.00253168,3.464e-05,0.00496364
3213,0.00014112,0.0025302000000000002,3.7199999999999996e-05,0.00502864
3263,0.000123,0.0025289200000000005,3.524e-05,0.0049504399999999995
3313,0.00011051999999999999,0.00252796,3.3079999999999995e-05,0.00477772
3363,0.00012240000000000002,0.00252732,3.624e-05,0.00490244
3413,0.00013428000000000002,0.00252748,3.916e-05,0.005072360000000001
3463,0.00014616,0.0025285999999999998,4.08e-05,0.00521032
3513,0.00013992000000000003,0.0025303599999999997,4.2959999999999995e-05,0.0053638800000000006
3563,0.00011556000000000001,0.00253216,4.3480000000000004e-05,0.0054309599999999994
3613,0.00011556,0.0024895600000000005,4.196e-05,0.00535512
3663,0.00010932,0.00240148,4.156e-05,0.00530956
3713,7.308000000000001e-05,0.00231284,3.272e-05,0.00474444
3763,9.684000000000001e-05,0.00222424,3.1880000000000006e-05,0.004601559999999999
3813,0.00010872,0.0021353599999999998,3.088e-05,0.00451408
3863,9.06e-05,0.0020893599999999997,3.1440000000000004e-05,0.00452944
3913,9.684000000000001e-05,0.0020896,3.1e-05,0.00451292
3963,8.496000000000001e-05,0.00208928,3.332e-05,0.00464996
4013,6.684e-05,0.00208848,3.4160000000000005e-05,0.004761560000000001
4063,6.683999999999999e-05,0.0020872,3.504e-05,0.0048596
4113,7.308000000000001e-05,0.00208716,3.5600000000000005e-05,0.004960040000000001
4163,7.932e-05,0.0020855599999999998,3.6679999999999994e-05,0.0050242
4213,9.744e-05,0.0020844,3.6479999999999996e-05,0.005020279999999999
4263,7.932e-05,0.0020826399999999998,3.276e-05,0.00478852
4313,6.120000000000001e-05,0.00205612,3.004e-05,0.0045812
4363,8.556e-05,0.00199148,2.944e-05,0.00448564
4413,5.4959999999999996e-05,0.00192644,2.844e-05,0.00443828
4463,4.872e-05,0.0018620800000000001,2.796e-05,0.00441836
4513,8.556e-05,0.0017982800000000002,2.94e-05,0.0044214
4563,8.556e-05,0.00176024,3.244e-05,0.004612440000000001
4613,5.496e-05,0.00176044,3.176e-05,0.0045826
4663,6.120000000000001e-05,0.0017615600000000001,3.276e-05,0.00465416
4713,6.12e-05,0.00176224,3.6479999999999996e-05,0.00488244
4763,5.496e-05,0.0017626,3.652e-05,0.00493656
4813,9.120000000000001e-05,0.00176268,3.768e-05,0.0049694399999999994
4863,9.744e-05,0.0017630400000000002,3.816e-05,0.0050062
4913,0.00010368000000000001,0.0017632000000000001,3.820000000000001e-05,0.0049729200000000005
4963,9.18e-05,0.0017641199999999999,3.332e-05,0.0046084
5013,6.744e-05,0.00175024,3.392e-05,0.00465084
5063,3.744e-05,0.0017016400000000001,2.936e-05,0.004387159999999999
5113,4.9919999999999996e-05,0.0016532,2.888e-05,0.004318
5163,6.18e-05,0.0016048,2.832e-05,0.004278
5213,6.18e-05,0.0015554000000000002,3.2439999999999994e-05,0.00455796
5263,7.368e-05,0.0015214,3.108e-05,0.004467120000000001
5313,0.00011615999999999999,0.0015214,3.4120000000000005e-05,0.0045806399999999995
5363,0.00010368,0.00152148,3.484e-05,0.00463424
5413,0.00011556,0.00152108,3.472e-05,0.00465736
5463,0.00011556000000000001,0.00152092,3.428e-05,0.00463848
5513,0.00012804,0.00152024,3.712e-05,0.0047566
5563,7.932e-05,0.00152036,3.544e-05,0.004704840000000001
5613,7.932e-05,0.0015194400000000002,3.596000000000001e-05,0.00476652
5663,6.18e-05,0.0015192399999999998,3.712e-05,0.0048149199999999994
5713,0.00011052,0.0015121199999999998,3.692e-05,0.00478116
5763,8.616e-05,0.00147708,3.664000000000001e-05,0.00476316
5813,0.0001224,0.0014420000000000001,4.328e-05,0.0051712799999999995
5863,0.00013428000000000002,0.0014069199999999999,4.428e-05,0.0051826400000000005
5913,0.00013367999999999998,0.00137148,4.532e-05,0.005277240000000001
5963,7.871999999999999e-05,0.00134284,4.14e-05,0.00507476
6013,7.871999999999999e-05,0.0013428000000000001,4.3679999999999995e-05,0.00527048
6063,4.248000000000001e-05,0.00134264,4.2800000000000004e-05,0.00525656
6113,2.436e-05,0.00134192,3.964e-05,0.0051205600000000006
6163,6.06e-05,0.0013418000000000002,3.756e-05,0.00499712
6213,9.120000000000001e-05,0.0013418000000000002,4.0680000000000004e-05,0.0051984
6263,8.496000000000001e-05,0.00134156,3.5319999999999994e-05,0.0048579999999999995
6313,0.00010932,0.0013404799999999998,3.116e-05,0.00455592
6363,0.00010932,0.00134172,3.16e-05,0.0045274799999999995
6413,7.932e-05,0.00133944,2.976e-05,0.0043622800000000005
6463,4.872e-05,0.0013142400000000002,2.72e-05,0.00415196
6513,4.872e-05,0.00128952,2.852e-05,0.004197360000000001
6563,4.872e-05,0.00126488,2.816e-05,0.00413992
6613,4.872e-05,0.0012389200000000001,2.9400000000000003e-05,0.00424688
6663,7.308000000000001e-05,0.0012156,3.32e-05,0.0044361999999999995
6713,9.120000000000001e-05,0.0012162,3.752e-05,0.0047166000000000005
6763,0.00010932,0.0012162399999999997,3.896e-05,0.00487472
6813,8.496000000000001e-05,0.00121604,3.9920000000000004e-05,0.00497008
6863,9.120000000000001e-05,0.00121644,4.0759999999999996e-05,0.00501084
6913,7.871999999999999e-05,0.0012171600000000001,3.864e-05,0.0049803600000000005
6963,6.683999999999999e-05,0.0012163599999999999,3.9e-05,0.005017399999999999
7013,8.496000000000001e-05,0.00121532,3.624e-05,0.00482172
7063,0.00013464,0.00121564,3.9439999999999995e-05,0.004937680000000001
7113,0.0001284,0.0012150000000000002,4.024000000000001e-05,0.00501912
