steps,rewards,epsilon
360,0.0,0.97624
720,0.0,0.94825
1080,0.0,0.92112
1440,0.0,0.89482
1800,0.0,0.86934
2084,0.29,0.84979
2444,0.0,0.82569
2804,0.1,0.80233
3164,0.0,0.77969
3524,0.0,0.75775
3884,0.0,0.73648
4244,0.0,0.71587
4604,0.0,0.69589
4964,0.0,0.67653
5324,0.0,0.65777
5684,0.0,0.63958
6044,0.0,0.62195
6404,0.0,0.60486
6764,0.0,0.5883
7002,0.405,0.57764
7046,0.89,0.57569
7093,0.8825,0.57362
7121,0.93,0.57239
7141,0.95,0.57151
7355,0.465,0.56222
7715,0.0,0.54697
7821,0.735,0.54257
7856,0.9125,0.54113
7932,0.81,0.53801
8292,0.0,0.5235
8652,0.0,0.50945
8768,0.71,0.50501
8879,0.7225,0.50081
9239,0.0,0.48745
9324,0.7875,0.48436
9544,0.45,0.47646
9622,0.805,0.47369
9820,0.505,0.46676
9942,0.695,0.46254
10269,0.1825,0.45147
10537,0.33,0.44262
10897,0.0,0.43105
11257,0.0,0.41984
11617,0.0,0.40898
11719,0.745,0.40596
12051,0.17,0.39632
12411,0.0,0.38618
12513,0.745,0.38337
12599,0.785,0.38101
12734,0.6625,0.37735
12880,0.635,0.37344
13041,0.5975,0.36918
13066,0.9375,0.36853
13226,0.6,0.36436
13306,0.8,0.36231
13329,0.9425,0.36172
13622,0.2675,0.35431
13850,0.43,0.34867
13865,0.9625,0.34831
14050,0.5375,0.34382
14072,0.945,0.34329
14131,0.8525,0.34188
14199,0.83,0.34026
14335,0.66,0.33705
14401,0.835,0.33551
14431,0.925,0.33481
14466,0.9125,0.33399
14556,0.775,0.33191
14612,0.86,0.33063
14641,0.9275,0.32997
14776,0.6625,0.3269
14820,0.89,0.32591
14942,0.695,0.32318
15089,0.6325,0.31993
15153,0.84,0.31852
15182,0.9275,0.31789
15456,0.315,0.31199
15757,0.2475,0.30566
16069,0.22,0.29928
16205,0.66,0.29655
16292,0.7825,0.29482
16372,0.8,0.29325
16523,0.6225,0.2903
16580,0.8575,0.28919
16719,0.6525,0.28653
16796,0.8075,0.28506
17156,0.0,0.27835
17263,0.7325,0.27639
17347,0.79,0.27487
17467,0.7,0.27271
17827,0.0,0.26638
17968,0.6475,0.26395
18260,0.27,0.25901
18473,0.4675,0.25549
18510,0.9075,0.25489
18553,0.8925,0.25419
18569,0.96,0.25393
18586,0.9575,0.25365
18605,0.9525,0.25334
18685,0.8,0.25205
18772,0.7825,0.25066
18818,0.885,0.24993
18883,0.8375,0.2489
18915,0.92,0.24839
18958,0.8925,0.24771
18977,0.9525,0.24742
19029,0.87,0.2466
19045,0.96,0.24635
19084,0.9025,0.24575
19152,0.83,0.24469
19171,0.9525,0.2444
19193,0.945,0.24406
19234,0.8975,0.24343
19262,0.93,0.243
19276,0.965,0.24279
19295,0.9525,0.2425
19319,0.94,0.24213
19361,0.895,0.24149
19408,0.8825,0.24078
19424,0.96,0.24054
19440,0.96,0.2403
19454,0.965,0.24009
19466,0.97,0.23991
19484,0.955,0.23964
19501,0.9575,0.23938
19517,0.96,0.23914
19538,0.9475,0.23883
19555,0.9575,0.23858
19567,0.97,0.2384
19582,0.9625,0.23818
19599,0.9575,0.23792
19620,0.9475,0.23761
19634,0.965,0.2374
19647,0.9675,0.23721
19663,0.96,0.23697
19695,0.92,0.2365
19711,0.96,0.23627
19724,0.9675,0.23608
19737,0.9675,0.23588
19753,0.96,0.23565
19765,0.97,0.23547
19778,0.9675,0.23528
19796,0.955,0.23502
19813,0.9575,0.23477
19830,0.9575,0.23453
19847,0.9575,0.23428
19859,0.97,0.2341
19877,0.955,0.23384
19923,0.885,0.23318
19944,0.9475,0.23287
19957,0.9675,0.23269
19974,0.9575,0.23244
20074,0.75,0.23101
20089,0.9625,0.2308
20103,0.965,0.2306
20126,0.9425,0.23027
20156,0.925,0.22985
20188,0.92,0.22939
20212,0.94,0.22906
20237,0.9375,0.2287
20255,0.955,0.22845
20274,0.9525,0.22818
20298,0.94,0.22785
20314,0.96,0.22763
20346,0.92,0.22718
20358,0.97,0.22701
20380,0.945,0.22671
20397,0.9575,0.22647
20412,0.9625,0.22626
20429,0.9575,0.22603
20447,0.955,0.22578
20465,0.955,0.22553
20480,0.9625,0.22532
20495,0.9625,0.22512
20509,0.965,0.22493
20524,0.9625,0.22472
20540,0.96,0.2245
20558,0.955,0.22426
20572,0.965,0.22406
20587,0.9625,0.22386
20602,0.9625,0.22365
20615,0.9675,0.22348
20629,0.965,0.22329
20641,0.97,0.22312
20660,0.9525,0.22287
20692,0.92,0.22243
20709,0.9575,0.22221
20726,0.9575,0.22198
20740,0.965,0.22179
20758,0.955,0.22155
20777,0.9525,0.22129
20791,0.965,0.2211
20804,0.9675,0.22093
20820,0.96,0.22071
20835,0.9625,0.22051
