steps,rewards,epsilon
290,0.275,0.98178
650,0.0,0.95362
1010,0.0,0.92633
1303,0.2675,0.90473
1663,0.0,0.87894
2018,0.1125,0.85429
2378,0.0,0.83005
2554,0.56,0.81847
2675,0.6975,0.81062
3035,0.0,0.78772
3395,0.0,0.76553
3755,0.0,0.74403
3895,0.65,0.73584
4083,0.53,0.72501
4159,0.81,0.72068
4353,0.515,0.70976
4412,0.8525,0.70647
4504,0.77,0.70138
4647,0.6425,0.69355
4697,0.875,0.69083
4824,0.6825,0.68399
4904,0.8,0.67972
4960,0.86,0.67674
5038,0.805,0.67263
5164,0.685,0.66603
5198,0.915,0.66427
5271,0.8175,0.66049
5306,0.9125,0.65869
5357,0.8725,0.65608
5485,0.68,0.64956
5552,0.8325,0.64618
5593,0.8975,0.64412
5625,0.92,0.64252
5679,0.865,0.63983
5769,0.775,0.63537
5839,0.825,0.63192
5885,0.885,0.62967
5911,0.935,0.6284
5949,0.905,0.62655
6046,0.7575,0.62185
6143,0.7575,0.6172
6223,0.8,0.61339
6271,0.88,0.61111
6301,0.925,0.6097
6331,0.925,0.60829
6381,0.875,0.60594
6414,0.9175,0.6044
6481,0.8325,0.60128
6518,0.9075,0.59956
6562,0.89,0.59753
6585,0.9425,0.59647
6647,0.845,0.59363
6694,0.8825,0.59148
6746,0.87,0.58912
6762,0.96,0.58839
6789,0.9325,0.58717
6883,0.765,0.58294
6924,0.8975,0.58111
6982,0.855,0.57852
7029,0.8825,0.57644
7129,0.75,0.57203
7161,0.92,0.57063
7201,0.9,0.56889
7227,0.935,0.56775
7254,0.9325,0.56658
7290,0.91,0.56502
7324,0.915,0.56355
7361,0.9075,0.56196
7394,0.9175,0.56054
7439,0.8875,0.55862
7461,0.945,0.55768
7494,0.9175,0.55627
7511,0.9575,0.55555
7536,0.9375,0.55449
7613,0.8075,0.55124
7644,0.9225,0.54994
7708,0.84,0.54726
7766,0.855,0.54485
7843,0.8075,0.54166
7927,0.79,0.53821
7982,0.8625,0.53596
8013,0.9225,0.5347
8059,0.885,0.53284
8079,0.95,0.53203
8108,0.9275,0.53086
8158,0.875,0.52885
8185,0.9325,0.52777
8305,0.7,0.52299
8330,0.9375,0.522
8352,0.945,0.52113
8384,0.92,0.51987
8412,0.93,0.51877
8474,0.845,0.51634
8510,0.91,0.51494
8557,0.8825,0.51312
8581,0.94,0.51219
8639,0.855,0.50995
8653,0.965,0.50941
8678,0.9375,0.50845
8748,0.825,0.50577
8772,0.94,0.50486
8795,0.9425,0.50399
8813,0.955,0.5033
8848,0.9125,0.50198
8883,0.9125,0.50066
8919,0.91,0.4993
8960,0.8975,0.49777
8984,0.94,0.49687
9015,0.9225,0.49571
9032,0.9575,0.49508
9052,0.95,0.49434
9107,0.8625,0.4923
9136,0.9275,0.49123
9179,0.8925,0.48965
9209,0.925,0.48855
9257,0.88,0.4868
9275,0.955,0.48614
9350,0.8125,0.48342
9379,0.9275,0.48237
9428,0.8775,0.48061
9463,0.9125,0.47935
9494,0.9225,0.47824
9511,0.9575,0.47763
9565,0.865,0.47571
9589,0.94,0.47486
9617,0.93,0.47387
9660,0.8925,0.47235
9682,0.945,0.47158
9704,0.945,0.47081
9732,0.93,0.46983
9748,0.96,0.46927
9805,0.8575,0.46728
9837,0.92,0.46617
9871,0.915,0.46499
9902,0.9225,0.46392
9928,0.935,0.46302
9946,0.955,0.46241
9968,0.945,0.46165
9986,0.955,0.46103
10022,0.91,0.4598
10044,0.945,0.45905
10079,0.9125,0.45786
10093,0.965,0.45739
10116,0.9425,0.45661
10146,0.925,0.4556
10167,0.9475,0.45489
10198,0.9225,0.45384
10224,0.935,0.45297
10249,0.9375,0.45213
10280,0.9225,0.4511
10342,0.845,0.44903
10380,0.905,0.44778
10400,0.95,0.44711
10414,0.965,0.44665
10438,0.94,0.44586
10472,0.915,0.44474
10501,0.9275,0.44379
10523,0.945,0.44307
10539,0.96,0.44255
10570,0.9225,0.44154
10587,0.9575,0.44099
10604,0.9575,0.44044
10624,0.95,0.43979
10659,0.9125,0.43866
10683,0.94,0.43788
10712,0.9275,0.43695
10745,0.9175,0.43589
10769,0.94,0.43512
10790,0.9475,0.43445
10810,0.95,0.43381
10836,0.935,0.43299
10864,0.93,0.4321
10885,0.9475,0.43143
10904,0.9525,0.43083
10940,0.91,0.42969
10968,0.93,0.42881
10990,0.945,0.42812
11018,0.93,0.42725
11048,0.925,0.42631
11072,0.94,0.42556
11106,0.915,0.4245
11156,0.875,0.42295
11172,0.96,0.42246
11186,0.965,0.42203
11207,0.9475,0.42138
11228,0.9475,0.42073
11257,0.9275,0.41984
11283,0.935,0.41905
11300,0.9575,0.41853
11327,0.9325,0.4177
11349,0.945,0.41703
11368,0.9525,0.41646
11390,0.945,0.41579
11408,0.955,0.41524
11436,0.93,0.4144
11457,0.9475,0.41376
11481,0.94,0.41304
11509,0.93,0.4122
11529,0.95,0.4116
11549,0.95,0.411
11578,0.9275,0.41014
11605,0.9325,0.40933
11636,0.9225,0.40841
11666,0.925,0.40753
11693,0.9325,0.40673
11720,0.9325,0.40593
11740,0.95,0.40534
11771,0.9225,0.40443
11787,0.96,0.40396
11812,0.9375,0.40323
11837,0.9375,0.4025
11873,0.91,0.40146
11897,0.94,0.40076
11961,0.84,0.39891
12012,0.8725,0.39744
12035,0.9425,0.39678
12078,0.8925,0.39555
12096,0.955,0.39504
12136,0.9,0.3939
12156,0.95,0.39333
12181,0.9375,0.39263
12206,0.9375,0.39192
12230,0.94,0.39124
12249,0.9525,0.39071
12286,0.9075,0.38967
12333,0.8825,0.38835
12355,0.945,0.38774
12383,0.93,0.38696
12411,0.93,0.38618
12446,0.9125,0.38521
12470,0.94,0.38455
12488,0.955,0.38406
12518,0.925,0.38323
12546,0.93,0.38246
12568,0.945,0.38186
12605,0.9075,0.38085
12633,0.93,0.38009
12654,0.9475,0.37952
12671,0.9575,0.37905
12687,0.96,0.37862
12708,0.9475,0.37805
12744,0.91,0.37708
12771,0.9325,0.37635
12795,0.94,0.37571
12813,0.955,0.37523
12842,0.9275,0.37445
12873,0.9225,0.37363
12889,0.96,0.3732
12908,0.9525,0.37269
12924,0.96,0.37227
12950,0.935,0.37158
12989,0.9025,0.37055
13004,0.9625,0.37016
13020,0.96,0.36973
13039,0.9525,0.36924
13056,0.9575,0.36879
13091,0.9125,0.36787
13119,0.93,0.36714
13143,0.94,0.36652
13166,0.9425,0.36592
13193,0.9325,0.36522
13229,0.91,0.36429
13243,0.965,0.36393
13262,0.9525,0.36344
13297,0.9125,0.36254
13314,0.9575,0.3621
13334,0.95,0.36159
13361,0.9325,0.3609
13389,0.93,0.36018
13418,0.9275,0.35945
13443,0.9375,0.35881
13462,0.9525,0.35833
13481,0.9525,0.35785
13527,0.885,0.35669
13550,0.9425,0.35611
13568,0.955,0.35566
13580,0.97,0.35536
13613,0.9175,0.35453
