steps,rewards,epsilon
278,0.305,0.98274
638,0.0,0.95455
998,0.0,0.92722
1334,0.16,0.90248
1694,0.0,0.87676
2054,0.0,0.85183
2414,0.0,0.82767
2774,0.0,0.80425
3134,0.0,0.78155
3494,0.0,0.75955
3854,0.0,0.73823
4016,0.595,0.72885
4279,0.3425,0.7139
4455,0.56,0.70409
4608,0.6175,0.69568
4788,0.55,0.68592
4999,0.4725,0.67468
5092,0.7675,0.66979
5272,0.55,0.66044
5400,0.68,0.65388
5599,0.5025,0.64382
5645,0.885,0.64152
5720,0.8125,0.63779
5777,0.8575,0.63497
5834,0.8575,0.63217
5884,0.875,0.62972
5916,0.92,0.62815
5975,0.8525,0.62529
6055,0.8,0.62142
6143,0.78,0.6172
6185,0.895,0.61519
6245,0.85,0.61234
6309,0.84,0.60932
6430,0.6975,0.60365
6455,0.9375,0.60249
6561,0.735,0.59758
6627,0.835,0.59455
6723,0.76,0.59016
6766,0.8925,0.58821
6857,0.7725,0.58411
6927,0.825,0.58097
7041,0.715,0.57591
7134,0.7675,0.57182
7368,0.415,0.56166
7394,0.935,0.56054
7496,0.745,0.55619
7721,0.4375,0.54672
7768,0.8825,0.54476
7803,0.9125,0.54331
7958,0.6125,0.53694
8004,0.885,0.53507
8046,0.895,0.53336
8070,0.94,0.53239
8107,0.9075,0.5309
8178,0.8225,0.52805
8211,0.9175,0.52673
8251,0.9,0.52513
8339,0.78,0.52164
8372,0.9175,0.52034
8410,0.905,0.51885
8454,0.89,0.51712
8488,0.915,0.5158
8551,0.8425,0.51335
8577,0.935,0.51234
8606,0.9275,0.51122
8628,0.945,0.51037
8660,0.92,0.50914
8762,0.745,0.50524
8821,0.8525,0.503
8855,0.915,0.50171
8895,0.9,0.50021
8982,0.7825,0.49695
9044,0.845,0.49464
9142,0.755,0.49101
9194,0.87,0.4891
9233,0.9025,0.48767
9290,0.8575,0.48559
9319,0.9275,0.48454
9350,0.9225,0.48342
9385,0.9125,0.48215
9424,0.9025,0.48075
9462,0.905,0.47939
9511,0.8775,0.47763
9534,0.9425,0.47681
9568,0.915,0.47561
9589,0.9475,0.47486
9635,0.885,0.47323
9705,0.825,0.47077
9732,0.9325,0.46983
9820,0.78,0.46676
9853,0.9175,0.46561
9931,0.805,0.46292
9975,0.89,0.46141
10023,0.88,0.45977
10060,0.9075,0.45851
10098,0.905,0.45722
10138,0.9,0.45587
10163,0.9375,0.45502
10196,0.9175,0.45391
10231,0.9125,0.45274
10259,0.93,0.4518
10286,0.9325,0.4509
10321,0.9125,0.44973
10353,0.92,0.44867
10382,0.9275,0.44771
10416,0.915,0.44659
10466,0.875,0.44494
10512,0.885,0.44343
10595,0.7925,0.44073
10650,0.8625,0.43895
10679,0.9275,0.43801
10703,0.94,0.43724
10730,0.9325,0.43637
10800,0.825,0.43413
10847,0.8825,0.43264
10866,0.9525,0.43203
10914,0.88,0.43051
10965,0.8725,0.42891
11000,0.9125,0.42781
11030,0.925,0.42687
11062,0.92,0.42587
11095,0.9175,0.42484
11129,0.915,0.42379
11149,0.95,0.42317
11198,0.8775,0.42166
11219,0.9475,0.42101
11244,0.9375,0.42024
11271,0.9325,0.41941
11307,0.91,0.41831
11323,0.96,0.41782
11350,0.9325,0.417
11388,0.905,0.41585
11407,0.9525,0.41527
11452,0.8875,0.41392
11482,0.925,0.41301
11528,0.885,0.41163
11546,0.955,0.41109
11588,0.895,0.40984
11613,0.9375,0.4091
11656,0.8925,0.40782
11671,0.9625,0.40738
11701,0.925,0.40649
11723,0.945,0.40584
11755,0.92,0.4049
11797,0.895,0.40367
11827,0.925,0.4028
11842,0.9625,0.40236
11863,0.9475,0.40175
11896,0.9175,0.40079
11921,0.9375,0.40006
11947,0.935,0.39931
11971,0.94,0.39862
11994,0.9425,0.39796
12027,0.9175,0.39701
12060,0.9175,0.39607
12077,0.9575,0.39558
12108,0.9225,0.3947
12126,0.955,0.39418
12180,0.865,0.39265
12203,0.9425,0.392
12224,0.9475,0.39141
12251,0.9325,0.39065
12270,0.9525,0.39012
12293,0.9425,0.38947
12324,0.9225,0.3886
12346,0.945,0.38799
12365,0.9525,0.38746
12388,0.9425,0.38682
12426,0.905,0.38577
12446,0.95,0.38521
12473,0.9325,0.38447
12514,0.8975,0.38334
12563,0.8775,0.382
12592,0.9275,0.3812
12659,0.8325,0.37938
12701,0.895,0.37824
12752,0.8725,0.37687
12788,0.91,0.3759
12813,0.9375,0.37523
12841,0.93,0.37448
12861,0.95,0.37395
12895,0.915,0.37304
12921,0.935,0.37235
12951,0.925,0.37155
12976,0.9375,0.37089
12997,0.9475,0.37034
