config_id,budget,performance,agent.batch_size,agent.buffer_capacity,agent.dqn_hidden_size,agent.dqn_lr,agent.dqn_target_update_freq,agent.epsilon_decay,agent.epsilon_final,agent.gamma
0,20000.0,1.0,64,43867,64,0.000305615875,975,30026,0.0934819566023,0.9608699231836
1,20000.0,0.9179629629629629,128,90232,64,0.0004292771091,151,96908,0.0436960621029,0.9876070673748
2,20000.0,0.9118518518518518,64,54295,64,0.0006580012541,459,26639,0.0627008409565,0.978288095371
3,60000.0,0.1156041287188828,256,63922,64,0.0004819766452,650,66643,0.1533440326382,0.9582233422244
4,60000.0,0.12664473684210528,256,43201,64,0.000315181828,645,50390,0.1740718874748,0.9680060970626
5,20000.0,0.9696428571428571,128,37383,64,0.0003162338542,908,24309,0.2849462223518,0.9711453507415
6,20000.0,0.8783333333333333,256,41226,32,0.0007753897647,134,39510,0.2486365457382,0.9935268837117
7,20000.0,0.8244444444444444,128,85637,32,0.0002195905531,416,66406,0.1593903450505,0.9961184719321
8,60000.0,0.8770531400966184,64,54295,64,0.0006580012541,459,26639,0.0627008409565,0.978288095371
9,60000.0,0.19017361111111114,128,46425,32,0.0003691000701,749,90326,0.074089464455,0.974647600414
10,60000.0,0.9688034188034188,64,36297,32,0.000267636883,858,21320,0.2265231083459,0.9844000599719
11,60000.0,0.7829787234042552,128,85637,32,0.0002195905531,416,66406,0.1593903450505,0.9961184719321
12,20000.0,1.0,64,91719,64,0.000374664457,968,64846,0.1559300065218,0.9809112904941
13,20000.0,0.8413194444444444,256,58848,64,0.000247704157,862,28856,0.2325715953421,0.9667536683941
14,20000.0,1.0,256,63922,32,0.0004621574602,592,57553,0.1609118144948,0.9609502152791
15,60000.0,0.08140507011866235,256,58848,64,0.000247704157,862,28856,0.2325715953421,0.9667536683941
16,60000.0,1.0,64,93739,32,0.0005129937086,210,13475,0.1348244020525,0.9646788964315
17,60000.0,0.07697222222222222,256,62178,32,0.0004834222652,568,33329,0.2375098631302,0.9551673944307
18,20000.0,0.6418402777777777,256,88911,64,0.0005140043603,142,61386,0.2430924183649,0.9578804845973
19,20000.0,0.2318181818181818,256,71872,32,0.0004479808743,111,40467,0.2798250531503,0.9544460873112
20,20000.0,0.30972222222222223,256,88753,64,0.000501410229,107,37040,0.2753660231144,0.9601630515744
21,60000.0,0.06945281124497993,256,68554,64,0.0004980743328,161,35799,0.152687807686,0.9610555414401
22,60000.0,0.078777189888301,256,68503,32,0.0008923213586,418,33722,0.1543975767998,0.9620588777655
23,20000.0,0.4481481481481482,256,19375,32,0.0002610586646,626,42296,0.2399338504415,0.9559646025102
24,20000.0,0.9990079365079366,256,23140,32,0.0002580790366,978,39610,0.2613922851162,0.9523189406356
25,20000.0,1.0,256,15496,32,0.0002629905961,255,51394,0.2835234076136,0.9510563199464
26,60000.0,0.09273333333333333,256,71872,32,0.0004479808743,111,40467,0.2798250531503,0.9544460873112
27,60000.0,0.09205623306233063,256,69585,32,0.0002564029724,137,49244,0.2343363076024,0.9542215192979
28,60000.0,0.9747416020671835,128,16959,32,0.000115823649,620,88003,0.0365929538166,0.9824343853273
29,20000.0,0.932962962962963,256,63133,32,0.0002661139491,159,71702,0.2840721088506,0.9559542828617
30,20000.0,1.0,256,69887,64,0.0008411073634,118,96680,0.0369578256212,0.9987486940383
31,20000.0,0.8857407407407407,256,14479,32,0.000146880856,142,58908,0.2713805022592,0.9519291318261
32,60000.0,0.08821664129883308,256,19375,32,0.0002610586646,626,42296,0.2399338504415,0.9559646025102
33,60000.0,0.9896164021164021,256,57705,32,0.0005488719574,133,35832,0.0355536854725,0.9641098583154
34,60000.0,0.06822982678495987,256,68554,64,0.0004980743328,135,35799,0.1283867672898,0.9623279740555
35,60000.0,0.12052469135802468,256,14479,32,0.000146880856,142,58908,0.2713805022592,0.9519291318261
36,20000.0,1.0,256,50414,64,0.0005008207127,125,36411,0.1461848364247,0.9583785385865
37,20000.0,0.8462962962962963,128,32624,64,0.000541340216,787,75674,0.1829244183713,0.976488296242
38,20000.0,1.0,256,47389,32,0.0001676531886,330,35545,0.0824873841624,0.966316411342
39,60000.0,0.10273297491039426,256,98230,32,0.0001486847608,467,68104,0.1130145741455,0.9601196562242
40,60000.0,0.06346801346801346,256,51566,64,0.0004353798068,293,35371,0.0920161491646,0.9672373284899
41,60000.0,1.0,128,32624,64,0.000541340216,787,75674,0.1829244183713,0.976488296242
42,20000.0,0.8322222222222223,64,32661,32,0.0004908003486,275,49500,0.2740884605079,0.9732593814274
43,20000.0,1.0,128,32976,32,0.0005053600955,265,86786,0.1337191257429,0.9873679449512
44,20000.0,0.1533783783783784,256,68554,64,0.0005412169639,103,28547,0.152687807686,0.9625529480528
45,60000.0,0.06272511043153245,256,68554,64,0.0005412169639,103,28547,0.152687807686,0.9625529480528
46,60000.0,0.05549687010954617,256,70390,64,0.0005272439916,117,23295,0.1224522264268,0.9625768952632
47,60000.0,0.9880681818181818,256,84167,32,0.0004381723543,804,25257,0.127494615563,0.9627609916115
48,20000.0,0.8955555555555554,256,49303,64,0.0005611686819,122,11186,0.1225740480467,0.9623159089671
49,20000.0,1.0,64,76275,32,0.0006932732378,140,11931,0.1482919293975,0.9623295774592
