config_id,budget,performance,agent.batch_size,agent.buffer_capacity,agent.dqn_hidden_size,agent.dqn_lr,agent.dqn_target_update_freq,agent.epsilon_decay,agent.epsilon_final,agent.gamma,agent.rnd_hidden_size,agent.rnd_lr,agent.rnd_output_size,agent.rnd_reward_weight,agent.rnd_update_freq
0,20000.0,0.6493827160493827,128,31440,32,0.0002625394157,662,54510,0.1602642391931,0.9529029168638,64,0.0004858485687,8,0.0046384581503,481
1,20000.0,0.5660130718954248,64,30609,32,0.000484417139,680,61040,0.2608558730739,0.9828558739634,32,0.0006833224225,16,0.0016599404772,456
2,20000.0,0.7314814814814814,64,59100,64,0.0001601224586,315,43878,0.2504526031365,0.9790602103966,32,0.0001043009532,16,0.0255691081033,255
3,60000.0,0.515009746588694,128,17751,32,0.0007552964377,853,47183,0.2505849742243,0.9829110507737,64,0.0005625282208,8,0.0019431967764,413
4,60000.0,0.041341991341991347,128,53757,32,0.0001065093154,603,13606,0.0891844925229,0.9701776060695,64,0.0009746778327,16,0.512991890149,695
5,20000.0,0.48842592592592593,256,44447,32,0.0001265710634,561,72978,0.2719865554335,0.9581023556587,64,0.0002259118899,8,0.0022092146722,298
6,20000.0,0.6421568627450981,64,86527,32,0.0002594513817,874,73052,0.0498676642024,0.9954479204394,32,0.000579739715,8,0.7054524987869,806
7,20000.0,0.7439236111111112,64,99881,32,0.0004947663534,664,79595,0.0503901407027,0.9670405271275,64,0.0002272645637,16,0.0223736273574,427
8,60000.0,0.874092970521542,64,30609,32,0.000484417139,680,61040,0.2608558730739,0.9828558739634,32,0.0006833224225,16,0.0016599404772,456
9,60000.0,0.9459183673469388,256,79575,32,0.0002595250417,569,40869,0.2441434737258,0.9867897930537,64,0.0005659634081,16,0.0543461575106,276
10,60000.0,0.17708333333333334,256,10243,32,0.000112189822,554,43483,0.1253262827258,0.9855739012822,64,0.0007609249591,8,0.0167652644516,666
11,60000.0,0.12635281385281386,256,44447,32,0.0001265710634,561,72978,0.2719865554335,0.9581023556587,64,0.0002259118899,8,0.0022092146722,298
12,20000.0,0.7744708994708994,128,93888,32,0.0006787230353,241,11741,0.0242982309784,0.97498070363,64,0.000385264747,16,0.0190866397733,322
13,20000.0,0.31335978835978834,128,32806,32,0.0003558975032,312,43464,0.1604699440005,0.9550046263944,32,0.0009323860096,16,0.1801436298028,430
14,20000.0,0.8571180555555555,256,52227,64,0.0001340036203,102,13498,0.0649461684958,0.9919987727006,32,0.0009635675166,16,0.0181919083089,654
15,60000.0,0.0678254942058623,128,32806,32,0.0003558975032,312,43464,0.1604699440005,0.9550046263944,32,0.0009323860096,16,0.1801436298028,430
16,60000.0,0.8464884696016772,256,10243,64,0.0001302489812,554,37189,0.1007697296437,0.9844276803038,64,0.0009840915372,8,0.0167652644516,666
17,60000.0,0.37877192982456137,128,41366,32,0.0002265411964,863,83201,0.2604814489267,0.9881179592827,64,0.0002348272411,16,0.3743741627272,140
18,20000.0,0.899537037037037,256,19285,32,0.0001615486643,103,15581,0.0114706470243,0.9900539530684,64,0.0009660905027,8,0.1183326144642,727
19,20000.0,0.5678819444444444,64,12155,32,0.0006815737332,917,54247,0.2900238255517,0.954131517886,64,0.0004513592249,16,0.5288944048836,461
20,20000.0,0.8411764705882353,256,59140,32,0.0003383533117,200,80289,0.0895528282361,0.9646543671246,64,0.0004675826432,16,0.0226159960126,172
21,60000.0,0.13786429872495445,256,53423,64,0.000346260808,215,64031,0.2576608182807,0.9743255598272,32,0.0002300258367,16,0.8412510034322,175
22,60000.0,0.059952424800491094,64,21751,32,0.0001502810505,300,46706,0.0331271585545,0.9725484594857,64,0.0009933714062,8,0.0562152065291,918
23,20000.0,0.11784869976359338,128,53757,32,0.0001194816348,603,12473,0.0944157577628,0.9682580418825,64,0.0009746778327,16,0.4137160654571,695
24,20000.0,0.1746141975308642,128,66608,64,0.0001286465103,602,35719,0.0846650842044,0.9688528605394,32,0.0009752823631,16,0.0356485418948,816
25,20000.0,0.9512962962962962,128,67475,32,0.0001261304035,693,17658,0.160420711369,0.9628672530687,64,0.0001421109882,16,0.4769506972043,869
26,60000.0,0.11197318007662835,64,12155,32,0.0006815737332,917,54247,0.2900238255517,0.954131517886,64,0.0004513592249,16,0.5288944048836,461
27,60000.0,0.04843304843304843,128,13950,64,0.0001265648189,872,11930,0.2066435656277,0.952622532004,32,0.00036161866,16,0.5285087896955,885
28,60000.0,0.049271719515339006,128,14552,64,0.0001244033195,606,20144,0.1233098252054,0.9609309023393,32,0.0002331951748,16,0.6613195315262,740
29,20000.0,0.6934027777777778,128,49149,64,0.0001234936797,852,22757,0.208648225322,0.967881600414,32,0.000167337199,8,0.8658656724642,725
30,20000.0,0.6921296296296297,64,10846,64,0.0006144666298,211,62771,0.1024929485831,0.9518826804291,64,0.0001596758367,16,0.1654825868194,292
31,20000.0,0.6752415458937198,128,21160,64,0.0001260800909,787,22060,0.2985612896608,0.9657575799376,64,0.0005322669999,8,0.5401273908398,861
32,60000.0,0.041678743961352654,128,53757,32,0.0001194816348,603,12473,0.0944157577628,0.9682580418825,64,0.0009746778327,16,0.4137160654571,695
33,60000.0,0.047113196814562004,256,59146,64,0.0009872615883,139,22889,0.0825471863263,0.9609805686361,64,0.0008515869773,16,0.3700967600191,699
34,60000.0,0.04230444137083141,256,47892,64,0.0001194816348,603,10937,0.0925805445657,0.9715171119324,64,0.0009442388363,8,0.4137160654571,695
35,60000.0,0.06284516765285997,128,21160,64,0.0001260800909,787,22060,0.2985612896608,0.9657575799376,64,0.0005322669999,8,0.5401273908398,861
36,20000.0,0.7284722222222222,256,94751,64,0.0006073982578,577,99019,0.2116922134601,0.9779899146914,64,0.0006284365448,8,0.0012458601239,801
37,20000.0,0.2076851851851852,128,81546,32,0.0005342794525,535,50388,0.0187853990695,0.9513186083477,64,0.0001185030377,16,0.0035883553276,760
38,20000.0,0.0859375,64,49273,64,0.0001411570129,358,13606,0.0891844925229,0.9701776060695,32,0.0009994106099,8,0.4791273854321,695
39,60000.0,0.040759871441689625,256,91813,64,0.0002432897516,645,11525,0.0915521853613,0.9522181656874,32,0.0009124400558,8,0.4214094033757,834
40,60000.0,0.045660340055357844,256,62860,64,0.0001489643568,602,23620,0.0846650842044,0.9668337385581,32,0.000949633746,16,0.0146621315446,688
41,60000.0,0.04493193524650478,64,49273,64,0.0001411570129,358,13606,0.0891844925229,0.9701776060695,32,0.0009994106099,8,0.4791273854321,695
42,20000.0,0.10555555555555556,256,80683,64,0.0006295723899,569,27818,0.1032479382363,0.9587122908658,32,0.0008092871674,8,0.0062360788317,699
43,20000.0,0.07553272450532725,128,86065,32,0.0002432897516,645,11525,0.0807660505015,0.9512035407139,32,0.0009965769755,16,0.4661745464767,834
44,20000.0,0.06926229508196721,64,72197,64,0.0001851375444,302,11514,0.0669399968371,0.9500203121951,32,0.0009750350515,16,0.1413626986433,705
45,60000.0,0.04054834054834055,64,72197,64,0.0001851375444,302,11514,0.0669399968371,0.9500203121951,32,0.0009750350515,16,0.1413626986433,705
46,60000.0,0.7224603174603175,128,47733,64,0.0009609488175,193,51122,0.0599169953702,0.9907025766773,32,0.000690473345,16,0.0013824769897,238
47,60000.0,0.596057347670251,128,32335,64,0.0002457593905,141,77664,0.1066130751727,0.9906886711178,32,0.0002290816469,16,0.0066397083287,504
48,20000.0,0.39972222222222226,128,48705,32,0.0001423108407,551,55456,0.0219686058016,0.9670026231987,32,0.000294490596,16,0.0113953607627,565
49,20000.0,0.859640522875817,64,65572,64,0.0002596152394,799,13620,0.0231669969315,0.9679814550462,32,0.0009739992195,8,0.127633562541,982
