config_id,performance,budget,budget_used,total_wallclock_time,total_optimization_time,agent.batch_size,agent.buffer_capacity,agent.dqn_hidden_size,agent.dqn_lr,agent.dqn_target_update_freq,agent.epsilon_decay,agent.epsilon_final,agent.gamma
4,0.04404520917678813,60000.0,180000.0,261.46480989456177,0.0011310577392578125,128,53757,32,0.0001065093154,603,13606,0.0891844925229,0.9701776060695
4,0.04404520917678813,60000.0,360000.0,503.3377802371979,0.011853218078613281,128,53757,32,0.0001065093154,603,13606,0.0891844925229,0.9701776060695
4,0.04404520917678813,60000.0,540000.0,837.8804981708527,0.25941991806030273,128,53757,32,0.0001065093154,603,13606,0.0891844925229,0.9701776060695
4,0.04404520917678813,60000.0,760000.0,1344.475291967392,0.2673068046569824,128,53757,32,0.0001065093154,603,13606,0.0891844925229,0.9701776060695
4,0.04404520917678813,60000.0,940000.0,1672.7933320999146,0.5732088088989258,128,53757,32,0.0001065093154,603,13606,0.0891844925229,0.9701776060695
4,0.04404520917678813,60000.0,1160000.0,2058.5179328918457,0.5851008892059326,128,53757,32,0.0001065093154,603,13606,0.0891844925229,0.9701776060695
4,0.04404520917678813,60000.0,1380000.0,2501.657236814499,0.9388480186462402,128,53757,32,0.0001065093154,603,13606,0.0891844925229,0.9701776060695
4,0.04404520917678813,60000.0,1560000.0,2848.0371198654175,0.9502730369567871,128,53757,32,0.0001065093154,603,13606,0.0891844925229,0.9701776060695
4,0.04404520917678813,60000.0,1740000.0,3237.476438999176,1.3737740516662598,128,53757,32,0.0001065093154,603,13606,0.0891844925229,0.9701776060695
45,0.04256136406220723,60000.0,1960000.0,3610.7463331222534,1.3873403072357178,128,25270,32,0.0001127267711,809,13390,0.0408812256973,0.9685654230712
