steps,rewards,epsilon
360,0.0,0.97624
692,0.17,0.95039
1052,0.0,0.9232
1412,0.0,0.89684
1772,0.0,0.87129
2132,0.0,0.84653
2492,0.0,0.82253
2852,0.0,0.79927
3212,0.0,0.77673
3572,0.0,0.75488
3932,0.0,0.7337
4292,0.0,0.71317
4597,0.2375,0.69628
4784,0.5325,0.68614
5144,0.0,0.66708
5504,0.0,0.6486
5864,0.0,0.6307
6224,0.0,0.61334
6452,0.43,0.60263
6730,0.305,0.58985
7090,0.0,0.57375
7450,0.0,0.55815
7490,0.9,0.55644
7543,0.8675,0.55419
7631,0.78,0.55048
7764,0.6675,0.54493
8033,0.3275,0.53389
8149,0.71,0.52921
8263,0.715,0.52466
8397,0.665,0.51936
8479,0.795,0.51615
8521,0.895,0.51451
8556,0.9125,0.51315
8662,0.735,0.50906
8700,0.905,0.50761
8748,0.88,0.50577
8782,0.915,0.50448
8842,0.85,0.50221
8906,0.84,0.49979
9013,0.7325,0.49579
9194,0.5475,0.4891
9294,0.75,0.48545
9355,0.8475,0.48324
9429,0.815,0.48057
9495,0.835,0.47821
9534,0.9025,0.47681
9578,0.89,0.47525
9627,0.8775,0.47352
9674,0.8825,0.47186
9741,0.8325,0.46951
9787,0.885,0.46791
10011,0.44,0.46018
10132,0.6975,0.45607
10176,0.89,0.45458
10265,0.7775,0.4516
10300,0.9125,0.45043
10337,0.9075,0.4492
10396,0.8525,0.44725
10428,0.92,0.44619
10474,0.885,0.44468
10506,0.92,0.44363
10551,0.8875,0.44216
10580,0.9275,0.44122
10614,0.915,0.44011
10659,0.8875,0.43866
10685,0.935,0.43782
10753,0.83,0.43563
10784,0.9225,0.43464
10823,0.9025,0.4334
10865,0.895,0.43207
10905,0.9,0.4308
10937,0.92,0.42979
11005,0.83,0.42765
11066,0.8475,0.42575
11094,0.93,0.42487
11136,0.895,0.42357
11185,0.8775,0.42206
11243,0.855,0.42027
11278,0.9125,0.4192
11318,0.9,0.41798
11363,0.8875,0.41661
11396,0.9175,0.41561
11440,0.89,0.41428
11488,0.88,0.41283
11532,0.89,0.41151
11552,0.95,0.41091
11583,0.9225,0.40999
11624,0.8975,0.40877
11659,0.9125,0.40773
11691,0.92,0.40679
11727,0.91,0.40573
11759,0.92,0.40478
11793,0.915,0.40379
11827,0.915,0.4028
11865,0.905,0.40169
11915,0.875,0.40024
11953,0.905,0.39914
11981,0.93,0.39833
12011,0.925,0.39747
12071,0.85,0.39575
12107,0.91,0.39473
12143,0.91,0.3937
12174,0.9225,0.39282
12229,0.8625,0.39127
12263,0.915,0.39031
12286,0.9425,0.38967
12310,0.94,0.389
12360,0.875,0.3876
12419,0.8525,0.38596
12455,0.91,0.38497
12511,0.86,0.38342
12562,0.8725,0.38202
12595,0.9175,0.38112
12679,0.79,0.37884
12727,0.88,0.37754
12766,0.9025,0.37649
12793,0.9325,0.37576
12828,0.9125,0.37483
12859,0.9225,0.374
12886,0.9325,0.37328
12917,0.9225,0.37246
12940,0.9425,0.37185
12972,0.92,0.371
13030,0.855,0.36947
13088,0.855,0.36795
13146,0.855,0.36644
13168,0.945,0.36587
13303,0.6625,0.36238
13358,0.8625,0.36097
13383,0.9375,0.36034
13407,0.94,0.35973
13439,0.92,0.35891
13464,0.9375,0.35828
13488,0.94,0.35767
13522,0.915,0.35681
13561,0.9025,0.35583
13603,0.895,0.35478
13655,0.87,0.35349
13688,0.9175,0.35267
13708,0.95,0.35217
13780,0.82,0.35039
13882,0.745,0.34789
13950,0.83,0.34624
13995,0.8875,0.34515
14025,0.925,0.34442
14059,0.915,0.3436
14092,0.9175,0.34281
14112,0.95,0.34233
14131,0.9525,0.34188
14166,0.9125,0.34104
14190,0.94,0.34047
14225,0.9125,0.33964
14245,0.95,0.33917
14267,0.945,0.33865
14354,0.7825,0.3366
14403,0.8775,0.33546
14433,0.925,0.33476
14459,0.935,0.33416
14576,0.7075,0.33145
14595,0.9525,0.33102
14614,0.9525,0.33058
14637,0.9425,0.33006
14660,0.9425,0.32953
14684,0.94,0.32898
14706,0.945,0.32848
14733,0.9325,0.32787
14771,0.905,0.32701
14795,0.94,0.32647
14816,0.9475,0.326
14847,0.9225,0.3253
14874,0.9325,0.3247
14896,0.945,0.3242
14924,0.93,0.32358
14943,0.9525,0.32315
14970,0.9325,0.32255
14996,0.935,0.32198
15027,0.9225,0.32129
15044,0.9575,0.32092
15069,0.9375,0.32037
15097,0.93,0.31975
15114,0.9575,0.31938
15141,0.9325,0.31879
15156,0.9625,0.31846
15174,0.955,0.31806
15205,0.9225,0.31739
15227,0.945,0.31691
15261,0.915,0.31617
15278,0.9575,0.31581
15299,0.9475,0.31535
15325,0.935,0.31479
15353,0.93,0.31419
15378,0.9375,0.31365
15408,0.925,0.31301
15436,0.93,0.31241
15466,0.925,0.31178
15489,0.9425,0.31129
15511,0.945,0.31082
15533,0.945,0.31035
15558,0.9375,0.30983
15582,0.94,0.30932
15607,0.9375,0.30879
15636,0.9275,0.30819
15663,0.9325,0.30762
15681,0.955,0.30725
15725,0.89,0.30633
15753,0.93,0.30575
15773,0.95,0.30533
15792,0.9525,0.30494
15818,0.935,0.3044
15837,0.9525,0.30401
15868,0.9225,0.30337
15886,0.955,0.303
15915,0.9275,0.30241
15943,0.93,0.30184
15969,0.935,0.30131
15994,0.9375,0.3008
16027,0.9175,0.30013
16042,0.9625,0.29983
16065,0.9425,0.29936
16094,0.9275,0.29878
16116,0.945,0.29833
16136,0.95,0.29793
16152,0.96,0.29761
16177,0.9375,0.29711
16200,0.9425,0.29665
16220,0.95,0.29625
16239,0.9525,0.29588
16255,0.96,0.29556
16285,0.925,0.29496
16315,0.925,0.29437
16330,0.9625,0.29407
16354,0.94,0.2936
16377,0.9425,0.29315
16404,0.9325,0.29262
16423,0.9525,0.29225
16450,0.9325,0.29172
16472,0.945,0.29129
16502,0.925,0.2907
16521,0.9525,0.29034
16551,0.925,0.28975
16576,0.9375,0.28927
16601,0.9375,0.28879
16647,0.885,0.2879
16697,0.875,0.28695
16716,0.9525,0.28658
16740,0.94,0.28613
16764,0.94,0.28567
16782,0.955,0.28533
16802,0.95,0.28495
16820,0.955,0.28461
16848,0.93,0.28408
16868,0.95,0.2837
16899,0.9225,0.28312
16939,0.9,0.28237
16964,0.9375,0.2819
16986,0.945,0.28149
17003,0.9575,0.28117
17027,0.94,0.28073
17056,0.9275,0.28019
17090,0.915,0.27956
17118,0.93,0.27905
17145,0.9325,0.27855
17165,0.95,0.27818
17190,0.9375,0.27772
17209,0.9525,0.27738
17238,0.9275,0.27685
17283,0.8875,0.27603
17308,0.9375,0.27557
17343,0.9125,0.27494
17387,0.89,0.27415
17407,0.95,0.27379
17424,0.9575,0.27348
17486,0.845,0.27237
17528,0.895,0.27162
17560,0.92,0.27106
17596,0.91,0.27042
17627,0.9225,0.26987
17645,0.955,0.26955
17675,0.925,0.26903
17693,0.955,0.26871
17716,0.9425,0.26831
17736,0.95,0.26796
17776,0.9,0.26726
17802,0.935,0.26681
17821,0.9525,0.26648
17842,0.9475,0.26612
17863,0.9475,0.26575
17887,0.94,0.26534
17904,0.9575,0.26505
17930,0.935,0.2646
17948,0.955,0.26429
17969,0.9475,0.26393
17989,0.95,0.26359
18010,0.9475,0.26323
18025,0.9625,0.26298
18045,0.95,0.26263
18067,0.945,0.26226
18086,0.9525,0.26194
18105,0.9525,0.26162
18132,0.9325,0.26116
18164,0.92,0.26062
18191,0.9325,0.26017
18211,0.95,0.25983
18231,0.95,0.2595
18247,0.96,0.25923
18266,0.9525,0.25891
18287,0.9475,0.25856
18311,0.94,0.25816
18335,0.94,0.25777
18360,0.9375,0.25735
18376,0.96,0.25709
18390,0.965,0.25686
18411,0.9475,0.25651
18441,0.925,0.25602
18457,0.96,0.25575
18474,0.9575,0.25548
18495,0.9475,0.25513
18514,0.9525,0.25482
18530,0.96,0.25456
18545,0.9625,0.25432
18561,0.96,0.25406
18582,0.9475,0.25372
18606,0.94,0.25333
18630,0.94,0.25294
18649,0.9525,0.25263
18667,0.955,0.25234
18687,0.95,0.25202
18708,0.9475,0.25168
18723,0.9625,0.25144
18741,0.955,0.25115
18757,0.96,0.2509
18799,0.895,0.25023
18823,0.94,0.24985
18849,0.935,0.24943
18864,0.9625,0.2492
18880,0.96,0.24894
18904,0.94,0.24856
18920,0.96,0.24831
18942,0.945,0.24797
18957,0.9625,0.24773
18972,0.9625,0.24749
18998,0.935,0.24709
19013,0.9625,0.24685
19030,0.9575,0.24659
19052,0.945,0.24624
19069,0.9575,0.24598
19092,0.9425,0.24562
19113,0.9475,0.2453
19135,0.945,0.24496
19157,0.945,0.24462
19172,0.9625,0.24438
19203,0.9225,0.24391
19219,0.96,0.24366
19234,0.9625,0.24343
19252,0.955,0.24316
19270,0.955,0.24288
19289,0.9525,0.24259
19305,0.96,0.24235
19322,0.9575,0.24209
19346,0.94,0.24172
19363,0.9575,0.24146
19382,0.9525,0.24118
19402,0.95,0.24087
19420,0.955,0.2406
19441,0.9475,0.24029
19468,0.9325,0.23988
19485,0.9575,0.23962
19503,0.955,0.23935
19522,0.9525,0.23907
19538,0.96,0.23883
19558,0.95,0.23853
19583,0.9375,0.23816
19605,0.945,0.23783
19623,0.955,0.23757
19642,0.9525,0.23729
19658,0.96,0.23705
19679,0.9475,0.23674
19698,0.9525,0.23646
19729,0.9225,0.236
19760,0.9225,0.23555
19785,0.9375,0.23518
19800,0.9625,0.23496
19828,0.93,0.23455
19842,0.965,0.23435
19865,0.9425,0.23402
19880,0.9625,0.2338
19897,0.9575,0.23355
19915,0.955,0.23329
19935,0.95,0.233
19955,0.95,0.23272
19972,0.9575,0.23247
19988,0.96,0.23224
20003,0.9625,0.23203
20028,0.9375,0.23167
20046,0.955,0.23141
20087,0.8975,0.23083
20104,0.9575,0.23058
20123,0.9525,0.23031
20143,0.95,0.23003
20160,0.9575,0.22979
20179,0.9525,0.22952
20196,0.9575,0.22928
20216,0.95,0.229
20234,0.955,0.22875
20256,0.945,0.22844
20273,0.9575,0.2282
20298,0.9375,0.22785
20319,0.9475,0.22756
20346,0.9325,0.22718
20362,0.96,0.22696
20383,0.9475,0.22667
20400,0.9575,0.22643
20416,0.96,0.22621
20434,0.955,0.22596
20463,0.9275,0.22556
20487,0.94,0.22523
20507,0.95,0.22495
20526,0.9525,0.22469
20546,0.95,0.22442
20573,0.9325,0.22405
20598,0.9375,0.22371
20635,0.9075,0.22321
20670,0.9125,0.22273
20708,0.905,0.22222
20759,0.8725,0.22153
20843,0.79,0.22041
20889,0.885,0.2198
20928,0.9025,0.21928
20948,0.95,0.21901
20965,0.9575,0.21879
20980,0.9625,0.21859
21000,0.95,0.21833
21031,0.9225,0.21792
21048,0.9575,0.2177
21074,0.935,0.21736
21093,0.9525,0.21711
21115,0.945,0.21682
21130,0.9625,0.21663
21158,0.93,0.21627
21173,0.9625,0.21607
21188,0.9625,0.21588
21207,0.9525,0.21563
21229,0.945,0.21535
21251,0.945,0.21506
21270,0.9525,0.21482
21286,0.96,0.21461
21304,0.955,0.21438
21325,0.9475,0.21411
21344,0.9525,0.21387
21361,0.9575,0.21365
21380,0.9525,0.21341
21395,0.9625,0.21322
21409,0.965,0.21304
21430,0.9475,0.21278
21452,0.945,0.2125
21470,0.955,0.21227
21486,0.96,0.21207
21832,0.135,0.20777
21850,0.955,0.20755
21869,0.9525,0.20732
21883,0.965,0.20715
21897,0.965,0.20698
21914,0.9575,0.20677
21934,0.95,0.20653
21953,0.9525,0.2063
21972,0.9525,0.20607
21990,0.955,0.20585
22008,0.955,0.20564
22024,0.96,0.20544
22045,0.9475,0.20519
22062,0.9575,0.20499
22085,0.9425,0.20471
22105,0.95,0.20447
22120,0.9625,0.20429
22172,0.87,0.20367
22197,0.9375,0.20338
22286,0.7775,0.20233
22309,0.9425,0.20206
22413,0.74,0.20084
22436,0.9425,0.20057
22475,0.9025,0.20012
22495,0.95,0.19989
22521,0.935,0.19959
22546,0.9375,0.1993
22566,0.95,0.19907
22596,0.925,0.19873
22626,0.925,0.19839
22640,0.965,0.19823
22659,0.9525,0.19801
22675,0.96,0.19783
22696,0.9475,0.19759
22720,0.94,0.19732
22737,0.9575,0.19712
22758,0.9475,0.19689
22782,0.94,0.19662
22799,0.9575,0.19642
22815,0.96,0.19624
22831,0.96,0.19607
22859,0.93,0.19575
22894,0.9125,0.19536
22919,0.9375,0.19508
22936,0.9575,0.19489
22961,0.9375,0.19462
22977,0.96,0.19444
22999,0.945,0.19419
23015,0.96,0.19402
23034,0.9525,0.19381
23075,0.8975,0.19336
23114,0.9025,0.19293
23145,0.9225,0.19259
23222,0.8075,0.19175
23248,0.935,0.19147
23306,0.855,0.19085
23330,0.94,0.19059
23345,0.9625,0.19043
23382,0.9075,0.19003
23398,0.96,0.18986
23412,0.965,0.18971
23434,0.945,0.18947
23450,0.96,0.1893
23469,0.9525,0.1891
23489,0.95,0.18889
23508,0.9525,0.18869
23529,0.9475,0.18847
23547,0.955,0.18828
23565,0.955,0.18809
23582,0.9575,0.18791
23606,0.94,0.18766
23633,0.9325,0.18737
23651,0.955,0.18719
23667,0.96,0.18702
23686,0.9525,0.18682
23703,0.9575,0.18664
23719,0.96,0.18648
23735,0.96,0.18631
23750,0.9625,0.18616
23773,0.9425,0.18592
23796,0.9425,0.18568
23810,0.965,0.18554
23831,0.9475,0.18532
23849,0.955,0.18514
23871,0.945,0.18491
23887,0.96,0.18475
23903,0.96,0.18458
23918,0.9625,0.18443
23933,0.9625,0.18428
24048,0.7125,0.18311
24151,0.7425,0.18207
24194,0.8925,0.18165
24238,0.89,0.18121
24256,0.955,0.18103
24272,0.96,0.18087
24303,0.9225,0.18056
24321,0.955,0.18039
24338,0.9575,0.18022
24370,0.92,0.1799
24388,0.955,0.17973
24406,0.955,0.17955
24424,0.955,0.17938
24497,0.8175,0.17867
24530,0.9175,0.17835
24546,0.96,0.17819
24567,0.9475,0.17799
24582,0.9625,0.17784
24599,0.9575,0.17768
24614,0.9625,0.17754
24635,0.9475,0.17733
24655,0.95,0.17714
24673,0.955,0.17697
24694,0.9475,0.17677
24708,0.965,0.17664
24722,0.965,0.1765
24742,0.95,0.17631
24758,0.96,0.17616
24775,0.9575,0.176
24798,0.9425,0.17578
24816,0.955,0.17561
24832,0.96,0.17546
24854,0.945,0.17525
24872,0.955,0.17508
24890,0.955,0.17491
24906,0.96,0.17476
24924,0.955,0.1746
24945,0.9475,0.1744
24967,0.945,0.17419
24984,0.9575,0.17404
25004,0.95,0.17385
25038,0.915,0.17354
25062,0.94,0.17331
25082,0.95,0.17313
25108,0.935,0.17289
25137,0.9275,0.17262
25157,0.95,0.17244
