steps,rewards,epsilon
360,0.0,0.97624
720,0.0,0.94825
1080,0.0,0.92112
1440,0.0,0.89482
1800,0.0,0.86934
2160,0.0,0.84464
2520,0.0,0.82069
2880,0.0,0.79749
3240,0.0,0.775
3600,0.0,0.7532
3960,0.0,0.73208
4320,0.0,0.7116
4680,0.0,0.69176
5040,0.0,0.67252
5117,0.8075,0.66849
5477,0.0,0.64997
5837,0.0,0.63202
6197,0.0,0.61462
6557,0.0,0.59776
6917,0.0,0.58142
7219,0.245,0.5681
7315,0.76,0.56394
7675,0.0,0.54864
8035,0.0,0.53381
8395,0.0,0.51944
8755,0.0,0.50551
9064,0.2275,0.49389
9156,0.77,0.4905
9281,0.6875,0.48592
9431,0.625,0.4805
9549,0.705,0.47628
9629,0.8,0.47345
9679,0.875,0.47168
9763,0.79,0.46874
9780,0.9575,0.46815
9851,0.8225,0.46568
9876,0.9375,0.46482
9895,0.9525,0.46416
9916,0.9475,0.46344
9934,0.955,0.46282
10007,0.8175,0.46032
10033,0.935,0.45943
10058,0.9375,0.45858
10100,0.895,0.45715
10221,0.6975,0.45307
10250,0.9275,0.4521
10268,0.955,0.4515
10279,0.9725,0.45113
10305,0.935,0.45026
10366,0.8475,0.44824
10384,0.955,0.44764
10564,0.55,0.44174
10598,0.915,0.44063
10620,0.945,0.43992
10639,0.9525,0.4393
10659,0.95,0.43866
10711,0.87,0.43698
10744,0.9175,0.43592
10770,0.935,0.43509
10788,0.955,0.43452
10866,0.805,0.43203
10919,0.8675,0.43036
10943,0.94,0.4296
10971,0.93,0.42872
10983,0.97,0.42834
10999,0.96,0.42784
11017,0.955,0.42728
11040,0.9425,0.42656
11063,0.9425,0.42584
11083,0.95,0.42522
11098,0.9625,0.42475
11115,0.9575,0.42422
11136,0.9475,0.42357
11173,0.9075,0.42243
11533,0.0,0.41148
11558,0.9375,0.41074
11581,0.9425,0.41005
11601,0.95,0.40945
11622,0.9475,0.40883
11652,0.925,0.40794
11683,0.9225,0.40702
11699,0.96,0.40655
11713,0.965,0.40614
11738,0.9375,0.4054
11761,0.9425,0.40473
11777,0.96,0.40426
11796,0.9525,0.4037
11810,0.965,0.40329
11829,0.9525,0.40274
11843,0.965,0.40233
11860,0.9575,0.40183
11879,0.9525,0.40128
11913,0.915,0.4003
11939,0.935,0.39954
11956,0.9575,0.39905
11972,0.96,0.39859
11990,0.955,0.39807
12003,0.9675,0.3977
12021,0.955,0.39718
12047,0.935,0.39644
12063,0.96,0.39598
12088,0.9375,0.39527
12104,0.96,0.39481
12134,0.925,0.39396
12164,0.925,0.39311
12181,0.9575,0.39263
12225,0.89,0.39138
12260,0.9125,0.3904
12284,0.94,0.38972
12310,0.935,0.389
12327,0.9575,0.38852
12352,0.9375,0.38782
12370,0.955,0.38732
12391,0.9475,0.38674
12465,0.815,0.38469
12491,0.935,0.38397
12536,0.8875,0.38274
12576,0.9,0.38164
12595,0.9525,0.38112
12618,0.9425,0.38049
12639,0.9475,0.37992
12660,0.9475,0.37935
12685,0.9375,0.37867
12716,0.9225,0.37784
12749,0.9175,0.37695
12811,0.845,0.37528
12827,0.96,0.37485
12848,0.9475,0.37429
12863,0.9625,0.37389
12890,0.9325,0.37317
12914,0.94,0.37254
12951,0.9075,0.37155
12976,0.9375,0.37089
13000,0.94,0.37026
13017,0.9575,0.36981
13045,0.93,0.36908
13062,0.9575,0.36863
13078,0.96,0.36821
13114,0.91,0.36727
13134,0.95,0.36675
13157,0.9425,0.36615
13189,0.92,0.36532
13220,0.9225,0.36452
13236,0.96,0.36411
13265,0.9275,0.36336
13300,0.9125,0.36246
13355,0.8625,0.36105
13379,0.94,0.36044
13399,0.95,0.35993
13422,0.9425,0.35934
13441,0.9525,0.35886
13465,0.94,0.35825
13485,0.95,0.35775
13533,0.88,0.35654
13567,0.915,0.35568
13596,0.9275,0.35496
13635,0.9025,0.35398
13655,0.95,0.35349
13672,0.9575,0.35306
13702,0.925,0.35232
13722,0.95,0.35182
13735,0.9675,0.3515
13761,0.935,0.35086
13786,0.9375,0.35024
13806,0.95,0.34975
13820,0.965,0.34941
13831,0.9725,0.34914
13861,0.925,0.3484
13879,0.955,0.34796
13897,0.955,0.34752
13917,0.95,0.34704
13938,0.9475,0.34653
13957,0.9525,0.34607
13975,0.955,0.34563
13993,0.955,0.34519
14011,0.955,0.34476
14028,0.9575,0.34435
14045,0.9575,0.34394
14072,0.9325,0.34329
14083,0.9725,0.34303
14101,0.955,0.3426
14116,0.9625,0.34224
14143,0.9325,0.34159
14161,0.955,0.34116
14172,0.9725,0.3409
14186,0.965,0.34057
14210,0.94,0.34
14228,0.955,0.33957
14245,0.9575,0.33917
14273,0.93,0.33851
14289,0.96,0.33813
14309,0.95,0.33766
14335,0.935,0.33705
14357,0.945,0.33653
14371,0.965,0.33621
