steps,extrinsic,intrinsic,loss,td_std
313,0.0,0.0034229599999999996,0.00136528,0.01443852
363,0.0,0.00342836,4.7720000000000004e-05,0.00629544
413,0.0,0.0034309199999999996,3.320000000000001e-05,0.00544676
463,0.0,0.00342776,3.244e-05,0.005305799999999999
513,0.0,0.00342448,3.316e-05,0.00526012
563,0.0,0.00342256,3.328000000000001e-05,0.00516828
613,0.0,0.0034202,3.2e-05,0.00499592
663,0.0,0.0034176000000000002,2.7720000000000002e-05,0.00462196
713,0.0,0.0034154399999999996,2.576e-05,0.00439452
763,0.0,0.0034134400000000002,2.3760000000000003e-05,0.0041332800000000005
813,0.0,0.00333908,2.82e-05,0.004307
863,0.0,0.0032579999999999996,2.9840000000000002e-05,0.00432512
913,0.0,0.0031764,3.088e-05,0.004305120000000001
963,0.0,0.00309552,3.172e-05,0.004298
1013,0.0,0.00301476,3.468e-05,0.00451292
1063,0.0,0.0030068,3.404e-05,0.00454516
1113,0.0,0.0030068800000000004,3.684e-05,0.004808239999999999
1163,0.0,0.0030072400000000004,3.784e-05,0.00489792
1213,0.0,0.00300768,3.8400000000000005e-05,0.004895040000000001
1263,0.0,0.00300852,3.852e-05,0.0048274799999999994
1313,0.0,0.00300908,3.9080000000000005e-05,0.0048797599999999995
1363,0.0,0.00300912,3.676e-05,0.00478036
1413,0.0,0.0030095200000000003,3.588e-05,0.00478808
1463,0.0,0.00300952,3.9040000000000006e-05,0.0049878
1513,0.0,0.00296528,3.724e-05,0.00492112
1563,0.0,0.00291076,3.46e-05,0.004744400000000001
1613,0.0,0.0028559600000000003,3.608e-05,0.004819080000000001
1663,0.0,0.0028010799999999996,4.236e-05,0.00521624
1713,0.0,0.00274612,4.4040000000000005e-05,0.005424559999999999
1763,0.0,0.0027355199999999995,4.8559999999999996e-05,0.00574208
1813,0.0,0.0027354799999999993,4.9880000000000004e-05,0.00585024
1863,0.0,0.0027356399999999997,5.276e-05,0.0060386
1913,0.0,0.0027351599999999995,5.048e-05,0.0059146
1963,0.0,0.0027354,5.1319999999999997e-05,0.0059348000000000005
2013,0.0,0.00273556,4.952e-05,0.0058315599999999995
2063,0.0,0.0027354,4.944000000000001e-05,0.0057766
2113,0.0,0.00273588,4.884e-05,0.00569456
2163,0.0,0.0027361200000000003,5.24e-05,0.00584348
2213,0.0,0.00270268,5.284e-05,0.00592116
2263,0.0,0.00265456,5.4080000000000004e-05,0.00599752
2313,0.0,0.00260636,5.988e-05,0.0063535200000000005
2363,0.0,0.00255776,5.512e-05,0.00611128
2413,0.0,0.0025101999999999998,5.516000000000001e-05,0.00609448
2463,0.0,0.0024954,5.232e-05,0.005883480000000001
2513,0.0,0.00249492,5.06e-05,0.00578716
2563,0.0,0.0024952800000000003,5.1e-05,0.00581092
2613,0.0,0.00249492,5.7600000000000004e-05,0.00620904
2663,0.0,0.0024946,5.9159999999999996e-05,0.006296200000000001
2713,0.0,0.0024943599999999997,6.568000000000001e-05,0.00658812
2763,0.0,0.002495,6.852e-05,0.00674152
2813,0.0,0.00249508,6.371999999999999e-05,0.006525680000000001
2863,0.0,0.0024954,6.46e-05,0.00651376
2913,0.0,0.0024724,5.7759999999999996e-05,0.0061351999999999995
2963,0.0,0.0024337600000000005,4.936e-05,0.00572004
3013,0.0,0.0023945600000000004,4.668e-05,0.00555684
3063,0.0,0.00235528,5.0560000000000004e-05,0.0056878399999999996
3113,0.0,0.00231628,4.8440000000000004e-05,0.005543
3163,0.0,0.0023004,5.244e-05,0.005800520000000001
3213,0.0,0.00230008,5.4e-05,0.00591364
3263,0.0,0.00230016,5.6080000000000005e-05,0.0059952
3313,0.0,0.0023004799999999997,5.592e-05,0.005975
3363,0.0,0.00230056,5.328e-05,0.0058352
3413,0.0,0.0023004799999999997,5.416000000000001e-05,0.00590016
3463,0.0,0.0023007199999999996,6.056e-05,0.00625176
3513,0.0,0.0023006,5.96e-05,0.00620416
3563,0.0,0.00230036,5.876e-05,0.0062226
3613,0.0,0.00228296,6.132e-05,0.006347960000000001
3663,0.0,0.0022478,5.504e-05,0.006023000000000001
3713,0.0,0.00221292,4.876e-05,0.00569184
3763,0.0,0.002178,4.7959999999999995e-05,0.00566108
3813,0.0,0.0021429199999999995,4.8280000000000005e-05,0.00558228
3863,0.0,0.0021248799999999996,5.168e-05,0.005811039999999999
3913,0.0,0.00212532,5.98e-05,0.00615572
3963,0.0,0.0021254,6.112e-05,0.00615096
4013,0.0,0.0021252800000000002,6.368e-05,0.00625392
4063,0.0,0.0021252,5.992e-05,0.0061188399999999995
4113,0.0,0.0021259200000000003,5.42e-05,0.00579188
4163,0.0,0.00212576,5.1880000000000005e-05,0.00573248
4213,0.0,0.0021259200000000003,5.488e-05,0.00590744
4263,0.0,0.00212588,5.3400000000000004e-05,0.00586784
4313,0.0,0.00211232,5.6800000000000005e-05,0.006009120000000001
4363,0.0,0.0020778,6.288000000000001e-05,0.006339880000000001
4413,0.0,0.00204372,5.58e-05,0.00590104
4463,0.0,0.0020091599999999994,5.5799999999999994e-05,0.005867
4513,0.0,0.0019748,5.64e-05,0.0058002
4563,0.0,0.00195444,5.2199999999999995e-05,0.00553056
4613,0.0,0.00195416,4.816e-05,0.00527568
4663,0.0,0.0019534,5.6279999999999996e-05,0.00569644
4713,0.0,0.00195296,5.14e-05,0.00544064
4763,0.0,0.0019525999999999999,5.1000000000000006e-05,0.005406759999999999
4813,0.0,0.00195244,5.556e-05,0.005646999999999999
4863,0.0,0.0019526399999999998,5.756e-05,0.005794120000000001
4913,0.0,0.00195316,5.284e-05,0.00550352
4963,0.0,0.00195344,5.860000000000001e-05,0.00572328
5013,0.0,0.0019432800000000001,5.928e-05,0.0057827600000000005
5063,0.0,0.0019077999999999999,5.688e-05,0.00570832
5113,0.0,0.00187232,5.492e-05,0.00549608
5163,5.048e-05,0.0018369600000000001,9.152e-05,0.00631968
5213,5.048e-05,0.0018018399999999999,9.276e-05,0.0064732
5263,5.048e-05,0.0017777599999999998,9.456e-05,0.00662484
5313,5.048e-05,0.0017778800000000001,9.66e-05,0.00666364
5363,0.00020192,0.0017784799999999998,0.00017488,0.00774592
5413,0.00020192,0.0017786,0.00016408000000000001,0.00737976
5463,0.00025239999999999996,0.0017785199999999998,0.00018516,0.007553559999999999
5513,0.00025239999999999996,0.0017781200000000002,0.00018300000000000003,0.007342
5563,0.00030288,0.0017784799999999998,0.00020688,0.00774376
5613,0.00020192,0.00177824,0.00015947999999999998,0.00747776
5663,0.00015144,0.0017782399999999997,0.00014092,0.00752252
5713,0.00020192,0.00177196,0.00015331999999999998,0.00757396
5763,0.00020192,0.00173724,0.00015144,0.0075264
5813,0.00025239999999999996,0.0017021999999999999,0.00017288,0.008261280000000001
5863,0.00020192,0.0016674,0.00014932,0.00800536
5913,0.00020192,0.0016324,0.0001434,0.00778324
5963,0.00010096,0.0016036000000000002,0.00010364,0.00731796
6013,0.00015144,0.00160336,0.0001218,0.00783636
6063,5.048e-05,0.0016036400000000001,8.152e-05,0.007094799999999999
6113,0.00010096,0.00160336,9.616e-05,0.0074119599999999996
6163,0.00010096,0.00160368,0.00010811999999999999,0.00790592
6213,0.00015144,0.0016040800000000001,0.00012664,0.00866188
6263,0.00010096,0.00160452,0.00012272,0.00882528
6313,0.00010096,0.00160416,0.00012348,0.00890048
6363,0.00010096,0.0016051600000000002,0.00011468,0.00875216
6413,0.00010096,0.0016019600000000004,0.00012032000000000001,0.009028600000000001
6463,0.00015144,0.00156736,0.00013796,0.00976048
6513,0.00015144,0.00153172,0.00016507999999999998,0.0105822
6563,0.00020192,0.00149664,0.00018360000000000002,0.01120836
6613,0.00015144,0.00146056,0.00019596,0.011617480000000001
6663,0.00020192,0.0014286799999999999,0.0001922,0.011537839999999999
6713,0.00015144,0.0014283599999999998,0.00017420000000000003,0.01089744
6763,0.00015144,0.00142916,0.00017032,0.0110452
6813,0.00010096,0.0014294000000000002,0.00018584,0.01133764
6863,0.00010096,0.0014299599999999999,0.0001908,0.011698839999999999
6913,0.00010096,0.00142996,0.00019024,0.011718880000000001
6963,0.00010096,0.0014306800000000001,0.00020984,0.01218792
7013,0.00010096,0.0014306000000000002,0.00020388,0.0119722
7063,0.00015144,0.0014310400000000002,0.00023752,0.012858199999999998
7113,0.00015144,0.00143084,0.00024660000000000003,0.013224159999999999
7163,0.00010096,0.0013976,0.00027583999999999996,0.01400756
7213,0.00010096,0.00136352,0.00029364,0.01426964
7263,0.00011627999999999999,0.00132996,0.00033768000000000003,0.01484952
7313,0.00011627999999999999,0.00129644,0.00029452,0.0140982
7363,0.00011627999999999999,0.0012631600000000002,0.00032612,0.01475792
7413,0.00016376,0.0012636400000000001,0.000332,0.015047840000000002
7463,0.00016376,0.0012636400000000001,0.00032008000000000004,0.0151688
7513,0.00019591999999999998,0.0012638,0.00032095999999999996,0.01566396
7563,0.00014544000000000002,0.0012638,0.000317,0.01555292
7613,0.00016076000000000003,0.0012640400000000001,0.00030072,0.01498488
7663,0.00011327999999999999,0.0012638800000000002,0.0003658,0.01636504
7713,6.28e-05,0.0012642,0.00041388,0.017648920000000002
7763,1.532e-05,0.001264,0.00039144,0.017371479999999998
7813,1.532e-05,0.00126396,0.00043132,0.01831016
7863,9.795999999999999e-05,0.00123772,0.00044908000000000003,0.018924240000000002
7913,9.795999999999999e-05,0.0012084399999999999,0.00039592,0.01781448
7963,0.00011327999999999999,0.00117936,0.00043744,0.01850188
8013,0.00017608,0.00115024,0.00050652,0.020007879999999995
8063,0.00017608,0.0011213599999999998,0.0005166799999999999,0.02044048
8113,0.00017308000000000002,0.0011180399999999998,0.00051228,0.02052176
8163,0.00030468,0.0011182000000000002,0.0005736399999999999,0.021663799999999997
8213,0.00036748,0.0011180399999999998,0.0005264399999999999,0.02075904
8263,0.00045311999999999994,0.00111808,0.0005114799999999999,0.02038556
8313,0.0005005999999999999,0.0011177600000000002,0.00051904,0.02052764
8363,0.00042096,0.00111808,0.0005207199999999999,0.02053396
8413,0.00030468,0.0011178,0.00046908,0.01974452
8463,0.00032452,0.00111768,0.00047144,0.019635160000000002
8513,0.00022655999999999997,0.00111748,0.00042508,0.018665440000000002
8563,0.00017908000000000003,0.00109708,0.0005036000000000001,0.019788040000000003
8613,0.00022656,0.00107172,0.00053352,0.02029932
8663,0.00025872,0.00104616,0.0005234800000000001,0.020061080000000002
8713,0.00025872,0.00102,0.00051188,0.02008152
8763,0.00030920000000000003,0.00099416,0.0005679600000000001,0.020897399999999997
8813,0.00035968,0.00098884,0.00046939999999999997,0.0192866
8863,0.0003122,0.00098832,0.00047756000000000003,0.019429920000000003
8913,0.00026471999999999997,0.00098828,0.00050536,0.01996512
8963,0.00016675999999999998,0.00098876,0.0004936,0.019614160000000002
9013,8.112e-05,0.000989,0.00047472000000000004,0.01926472
9063,3.064e-05,0.00098844,0.00047964000000000004,0.01932312
9113,6.58e-05,0.00098876,0.00044451999999999995,0.018731559999999998
9163,8e-05,0.00098836,0.00044879999999999996,0.018838280000000002
9213,0.00014232,0.00098812,0.0004980399999999999,0.019650439999999998
9263,0.0001412,0.00097276,0.00048392000000000004,0.019680760000000002
9313,0.0002398,0.00095132,0.0005039600000000001,0.02001316
9363,0.00018931999999999998,0.00092896,0.0005055600000000001,0.02008632
9413,0.0002804,0.00090724,0.00048816,0.0197478
9463,0.00032836,0.00088532,0.000478,0.01964676
9513,0.00039528,0.00087832,0.00050244,0.020180399999999998
9563,0.0003448,0.00087872,0.00058904,0.02155164
9613,0.00038888,0.000879,0.0006364799999999999,0.022448799999999998
9663,0.00038936,0.0008796799999999999,0.0006401600000000001,0.02258184
9713,0.00033348,0.0008795200000000001,0.00062052,0.02239292
9763,0.0006228399999999999,0.00088008,0.0006489200000000001,0.02286668
9813,0.0006823600000000001,0.0008797599999999999,0.0005559599999999999,0.02159796
9863,0.0008281200000000001,0.00087948,0.00052264,0.021138160000000003
9913,0.00082,0.0008786800000000001,0.00049924,0.020677760000000003
9963,0.00107656,0.00086748,0.0004890399999999999,0.020467759999999998
10013,0.00087436,0.00084884,0.00045436,0.01972604
10063,0.0010366800000000001,0.0008299199999999999,0.00047915999999999996,0.02019112
10113,0.0009681999999999999,0.0008119199999999999,0.00048335999999999995,0.020238239999999998
10163,0.00125712,0.0007930000000000001,0.000524,0.0210872
10213,0.00131832,0.00078604,0.00053344,0.02132964
10263,0.0016114,0.0007859999999999999,0.0005451200000000001,0.021608719999999998
10313,0.00168516,0.00078604,0.0005536,0.0214286
10363,0.00202204,0.00078588,0.00056428,0.021558920000000002
10413,0.0022586399999999997,0.0007867600000000001,0.0005708399999999999,0.0217392
10463,0.0022526,0.00078716,0.0005816399999999999,0.021849399999999998
10513,0.0022184000000000006,0.00078744,0.00057504,0.0215744
10563,0.0022821599999999997,0.00078752,0.00056364,0.021330639999999998
10613,0.0022863600000000003,0.00078696,0.00054676,0.020896440000000002
10663,0.00216228,0.00077836,0.00059548,0.02155196
10713,0.0024046799999999998,0.0007624,0.00060552,0.02197624
10763,0.0024217999999999996,0.0007457200000000001,0.0006127999999999999,0.02242052
10813,0.00241176,0.0007298800000000001,0.00059824,0.022563120000000002
10863,0.00250068,0.0007136800000000001,0.00058324,0.022479239999999998
10913,0.0025025200000000003,0.0007065600000000001,0.00054012,0.021677520000000002
10963,0.0022032,0.00070608,0.00058464,0.02205204
11013,0.0020853200000000003,0.0007072399999999999,0.0005978000000000001,0.0222356
11063,0.0024466,0.0007068399999999999,0.00062788,0.022805119999999998
11113,0.0026248799999999996,0.00070776,0.0006504400000000001,0.023178320000000002
11163,0.00283124,0.00070748,0.00067572,0.02352436
11213,0.00337464,0.00070748,0.00066848,0.023576240000000002
11263,0.00363116,0.00070692,0.00066952,0.023633559999999998
11313,0.0033940000000000003,0.00070772,0.0007158800000000001,0.02428852
11363,0.00350648,0.0007024,0.00078164,0.02541948
11413,0.00363808,0.00068948,0.00079096,0.025888840000000003
11463,0.00353796,0.00067616,0.0007870399999999999,0.02603708
11513,0.00347096,0.00066224,0.00077432,0.02572644
11563,0.00383248,0.00064852,0.0007485599999999999,0.025331399999999997
11613,0.004021240000000001,0.00063908,0.00072084,0.02500692
11663,0.003987559999999999,0.00063868,0.00068232,0.024522
