steps,rewards,epsilon
360,0.0,0.97624
720,0.0,0.94825
1080,0.0,0.92112
1440,0.0,0.89482
1800,0.0,0.86934
2160,0.0,0.84464
2520,0.0,0.82069
2880,0.0,0.79749
2996,0.71,0.79017
3356,0.0,0.7679
3716,0.0,0.74632
4076,0.0,0.72541
4436,0.0,0.70514
4796,0.0,0.68549
5156,0.0,0.66645
5512,0.11,0.6482
5872,0.0,0.6303
6232,0.0,0.61296
6592,0.0,0.59615
6952,0.0,0.57986
7312,0.0,0.56407
7490,0.555,0.55644
7850,0.0,0.54137
7918,0.83,0.53858
8029,0.7225,0.53405
8389,0.0,0.51967
8694,0.2375,0.50784
8816,0.695,0.50319
9027,0.4725,0.49527
9069,0.895,0.49371
9266,0.5075,0.48647
9493,0.4325,0.47828
9853,0.0,0.46561
9913,0.85,0.46354
10206,0.2675,0.45358
10230,0.94,0.45277
10550,0.2,0.44219
10694,0.64,0.43753
10975,0.2975,0.42859
11028,0.8675,0.42693
11089,0.8475,0.42503
11103,0.965,0.42459
11173,0.825,0.42243
11249,0.81,0.42009
11321,0.82,0.41789
11335,0.965,0.41746
11471,0.66,0.41334
11503,0.92,0.41238
11584,0.7975,0.40996
11710,0.685,0.40623
11805,0.7625,0.40344
11868,0.8425,0.4016
11888,0.95,0.40102
11932,0.89,0.39975
11957,0.9375,0.39902
12059,0.745,0.3961
12092,0.9175,0.39515
12196,0.74,0.3922
12227,0.9225,0.39133
12273,0.885,0.39003
12312,0.9025,0.38894
12348,0.91,0.38794
12652,0.24,0.37957
12786,0.665,0.37595
12834,0.88,0.37467
12983,0.6275,0.37071
13077,0.765,0.36824
13152,0.8125,0.36628
13236,0.79,0.36411
13250,0.965,0.36375
13263,0.9675,0.36341
13314,0.8725,0.3621
13332,0.955,0.36164
13368,0.91,0.36072
13402,0.915,0.35985
13426,0.94,0.35924
13453,0.9325,0.35856
13505,0.87,0.35724
13554,0.8775,0.35601
13572,0.955,0.35556
13589,0.9575,0.35513
13629,0.9,0.35413
13654,0.9375,0.35351
13684,0.925,0.35276
13697,0.9675,0.35244
13720,0.9425,0.35187
13766,0.885,0.35074
13796,0.925,0.35
13817,0.9475,0.34948
13833,0.96,0.34909
13863,0.925,0.34835
13879,0.96,0.34796
13896,0.9575,0.34755
13916,0.95,0.34706
13930,0.965,0.34672
13957,0.9325,0.34607
13977,0.95,0.34558
13994,0.9575,0.34517
14008,0.965,0.34483
14044,0.91,0.34396
14068,0.94,0.34339
14080,0.97,0.3431
14096,0.96,0.34272
14116,0.95,0.34224
14131,0.9625,0.34188
14149,0.955,0.34145
14165,0.96,0.34107
14197,0.92,0.34031
14217,0.95,0.33983
14239,0.945,0.33931
14257,0.955,0.33889
14284,0.9325,0.33825
14312,0.93,0.33759
14326,0.965,0.33726
14339,0.9675,0.33696
14350,0.9725,0.3367
14380,0.925,0.336
14399,0.9525,0.33555
14414,0.9625,0.3352
14431,0.9575,0.33481
14448,0.9575,0.33441
14482,0.915,0.33362
14497,0.9625,0.33328
14518,0.9475,0.33279
14543,0.9375,0.33221
14564,0.9475,0.33173
14589,0.9375,0.33116
14615,0.935,0.33056
14636,0.9475,0.33008
14655,0.9525,0.32965
14673,0.955,0.32924
14688,0.9625,0.32889
14703,0.9625,0.32855
14721,0.955,0.32814
14762,0.8975,0.32722
14795,0.9175,0.32647
14806,0.9725,0.32622
14826,0.95,0.32577
14851,0.9375,0.32521
14878,0.9325,0.32461
14987,0.7275,0.32218
15009,0.945,0.32169
15022,0.9675,0.3214
15043,0.9475,0.32094
15058,0.9625,0.32061
15075,0.9575,0.32023
15090,0.9625,0.3199
15105,0.9625,0.31957
15118,0.9675,0.31929
15131,0.9675,0.319
15148,0.9575,0.31863
15161,0.9675,0.31835
15174,0.9675,0.31806
15188,0.965,0.31776
15221,0.9175,0.31704
15233,0.97,0.31678
15256,0.9425,0.31628
15270,0.965,0.31598
15289,0.9525,0.31557
15304,0.9625,0.31525
15316,0.97,0.31499
15349,0.9175,0.31428
15361,0.97,0.31402
15375,0.965,0.31372
15389,0.965,0.31342
15422,0.9175,0.31271
15446,0.94,0.3122
15459,0.9675,0.31192
15476,0.9575,0.31156
15506,0.925,0.31093
15525,0.9525,0.31052
15549,0.94,0.31002
15574,0.9375,0.30949
15598,0.94,0.30898
15623,0.9375,0.30846
15641,0.955,0.30808
15660,0.9525,0.30768
15676,0.96,0.30735
15688,0.97,0.3071
15706,0.955,0.30672
15720,0.965,0.30643
15736,0.96,0.3061
15753,0.9575,0.30575
15770,0.9575,0.30539
15793,0.9425,0.30492
15816,0.9425,0.30444
15832,0.96,0.30411
15846,0.965,0.30383
15860,0.965,0.30354
15874,0.965,0.30325
15886,0.97,0.303
15899,0.9675,0.30274
15924,0.9375,0.30223
15949,0.9375,0.30172
15977,0.93,0.30115
