steps,rewards,epsilon
360,0.0,0.97624
720,0.0,0.94825
1080,0.0,0.92112
1440,0.0,0.89482
1800,0.0,0.86934
2160,0.0,0.84464
2520,0.0,0.82069
2880,0.0,0.79749
3240,0.0,0.775
3469,0.4275,0.76106
3829,0.0,0.73969
4189,0.0,0.71898
4549,0.0,0.69891
4904,0.1125,0.67972
5243,0.1525,0.66194
5325,0.795,0.65772
5493,0.58,0.64916
5853,0.0,0.63123
6213,0.0,0.61386
6443,0.425,0.60304
6519,0.81,0.59952
6673,0.615,0.59244
7033,0.0,0.57626
7393,0.0,0.56058
7439,0.885,0.55862
7799,0.0,0.54348
7900,0.7475,0.53932
8045,0.6375,0.53341
8111,0.835,0.53074
8252,0.6475,0.52509
8279,0.9325,0.52402
8345,0.835,0.52141
8442,0.7575,0.51759
8504,0.845,0.51517
8582,0.805,0.51215
8643,0.8475,0.50979
8688,0.8875,0.50807
8813,0.6875,0.5033
8861,0.88,0.50149
8939,0.805,0.49855
9015,0.81,0.49571
9076,0.8475,0.49345
9115,0.9025,0.49201
9187,0.82,0.48936
9230,0.8925,0.48778
9293,0.8425,0.48548
9313,0.95,0.48476
9356,0.8925,0.4832
9393,0.9075,0.48187
9450,0.8575,0.47982
9482,0.92,0.47867
9581,0.7525,0.47514
9612,0.9225,0.47405
9682,0.825,0.47158
10042,0.0,0.45912
10109,0.8325,0.45685
10176,0.8325,0.45458
10216,0.9,0.45324
10355,0.6525,0.4486
10446,0.7725,0.4456
10583,0.6575,0.44112
10621,0.905,0.43989
10676,0.8625,0.43811
10706,0.925,0.43714
10746,0.9,0.43586
10782,0.91,0.43471
10838,0.86,0.43292
10876,0.905,0.43172
10924,0.88,0.4302
10956,0.92,0.42919
10986,0.925,0.42825
11013,0.9325,0.4274
11041,0.93,0.42653
11072,0.9225,0.42556
11111,0.9025,0.42435
11158,0.8825,0.42289
11193,0.9125,0.42181
11234,0.8975,0.42055
11264,0.925,0.41963
11305,0.8975,0.41837
11340,0.9125,0.41731
11395,0.8625,0.41564
11422,0.9325,0.41482
11763,0.1475,0.40467
11793,0.925,0.40379
11849,0.86,0.40215
11881,0.92,0.40122
11916,0.9125,0.40021
11954,0.905,0.39911
11976,0.945,0.39848
12010,0.915,0.3975
12212,0.495,0.39175
12229,0.9575,0.39127
12248,0.9525,0.39074
12292,0.89,0.3895
12351,0.8525,0.38785
12389,0.905,0.38679
12421,0.92,0.38591
12468,0.8825,0.38461
12503,0.9125,0.38364
12526,0.9425,0.38301
12548,0.945,0.38241
12570,0.945,0.3818
12604,0.915,0.38088
12649,0.8875,0.37965
12676,0.9325,0.37892
12706,0.925,0.37811
12772,0.835,0.37633
12796,0.94,0.37568
12819,0.9425,0.37507
12858,0.9025,0.37403
12890,0.92,0.37317
12909,0.9525,0.37267
12934,0.9375,0.372
12965,0.9225,0.37118
13016,0.8725,0.36984
13046,0.925,0.36905
13076,0.925,0.36827
13099,0.9425,0.36766
13129,0.925,0.36688
13158,0.9275,0.36613
13189,0.9225,0.36532
13210,0.9475,0.36478
13301,0.7725,0.36243
13322,0.9475,0.36189
13366,0.89,0.36077
13387,0.9475,0.36023
13409,0.945,0.35967
13427,0.955,0.35922
13442,0.9625,0.35884
13459,0.9575,0.35841
13497,0.905,0.35745
13516,0.9525,0.35697
13534,0.955,0.35651
13559,0.9375,0.35588
13588,0.9275,0.35516
13622,0.915,0.35431
13636,0.965,0.35396
13677,0.8975,0.35294
13700,0.9425,0.35237
13725,0.9375,0.35175
13756,0.9225,0.35098
13787,0.9225,0.35022
13816,0.9275,0.34951
13843,0.9325,0.34884
13858,0.9625,0.34848
13881,0.9425,0.34792
13915,0.915,0.34709
13947,0.92,0.34631
13979,0.92,0.34553
13999,0.95,0.34505
14033,0.915,0.34423
14063,0.925,0.34351
14089,0.935,0.34288
14132,0.8925,0.34186
14156,0.94,0.34128
14190,0.915,0.34047
14217,0.9325,0.33983
14247,0.925,0.33912
14270,0.9425,0.33858
14291,0.9475,0.33808
14423,0.67,0.33499
14445,0.945,0.33448
14470,0.9375,0.3339
14509,0.9025,0.333
14532,0.9425,0.33247
14549,0.9575,0.33208
14576,0.9325,0.33145
14596,0.95,0.331
14613,0.9575,0.33061
14639,0.935,0.33001
14665,0.935,0.32942
14689,0.94,0.32887
14727,0.905,0.32801
14748,0.9475,0.32753
14767,0.9525,0.3271
14794,0.9325,0.32649
14813,0.9525,0.32606
14837,0.94,0.32552
14860,0.9425,0.32501
14880,0.95,0.32456
14909,0.9275,0.32391
14932,0.9425,0.3234
14951,0.9525,0.32298
14965,0.965,0.32267
14985,0.95,0.32222
15001,0.96,0.32187
15023,0.945,0.32138
15043,0.95,0.32094
15085,0.895,0.32001
15106,0.9475,0.31955
15123,0.9575,0.31918
15140,0.9575,0.31881
15159,0.9525,0.31839
