steps,extrinsic,intrinsic,loss,td_std
313,0.0,0.0033872,0.001608,0.01794016
363,0.0,0.00338544,6.984e-05,0.00757768
413,0.0,0.00338508,5.18e-05,0.00674432
463,0.0,0.0033856800000000003,4.68e-05,0.00629472
513,0.0,0.00338616,4.392e-05,0.00594276
563,0.0,0.0033866,4.348e-05,0.0057668400000000005
613,0.0,0.00338708,4.2119999999999997e-05,0.00555276
663,0.0,0.00338712,2.8960000000000004e-05,0.004705439999999999
713,0.0,0.00338612,2.78e-05,0.00455472
763,0.0,0.00338504,3.124e-05,0.00472876
813,0.0,0.0033317999999999998,3.344e-05,0.00483856
863,0.0,0.0032724,3.3639999999999996e-05,0.004794280000000001
913,0.0,0.00321284,3.2800000000000004e-05,0.00461036
963,0.0,0.0031543599999999997,3.368e-05,0.0045566800000000005
1013,0.0,0.00309656,2.84e-05,0.00417468
1063,0.0,0.0030908,2.98e-05,0.004226359999999999
1113,0.0,0.00309116,3.208e-05,0.00440036
1163,0.0,0.00309176,3.592e-05,0.00469564
1213,0.0,0.003092,3.5680000000000004e-05,0.0046903199999999996
1263,0.0,0.00309164,3.5e-05,0.00457508
1313,0.0,0.00309144,3.2160000000000004e-05,0.00437464
1363,0.0,0.00309104,3.504e-05,0.0045209199999999995
1413,0.0,0.003091,3.228e-05,0.004335
1463,0.0,0.00309096,3.04e-05,0.00424376
1513,0.0,0.0030471599999999997,3.848e-05,0.00479068
1563,0.0,0.0029934,4.0680000000000004e-05,0.00495012
1613,0.0,0.0029396,3.684e-05,0.00471244
1663,0.0,0.00288508,3.8360000000000005e-05,0.00481632
1713,0.0,0.0028306,4.1e-05,0.00496572
1763,0.0,0.00282012,3.664e-05,0.004713439999999999
1813,0.0,0.00282,3.1519999999999996e-05,0.00435892
1863,0.0,0.00282024,2.936e-05,0.00416076
1913,0.0,0.0028203200000000003,2.8040000000000003e-05,0.00406808
1963,0.0,0.0028207199999999997,2.4160000000000002e-05,0.00380532
2013,0.0,0.0028207999999999996,2.4880000000000002e-05,0.00381088
2063,0.0,0.00282044,2.9e-05,0.0040533999999999995
2113,0.0,0.00281996,3.4479999999999995e-05,0.00449204
2163,0.0,0.0028198399999999997,3.404e-05,0.00446268
2213,0.0,0.0027854800000000003,4.04e-05,0.00488124
2263,0.0,0.00273616,3.9760000000000006e-05,0.00490288
2313,0.0,0.00268728,3.86e-05,0.00483704
2363,0.0,0.00263812,3.168000000000001e-05,0.00431416
2413,0.0,0.00258912,2.868e-05,0.00403784
2463,0.0,0.00257392,2.3680000000000004e-05,0.0036317600000000004
2513,0.0,0.00257368,2.116e-05,0.0033836799999999996
2563,0.0,0.00257368,2.144e-05,0.0034068
2613,0.0,0.0025738,2.7079999999999998e-05,0.0037336
2663,0.0,0.0025735999999999997,3.012e-05,0.00394712
2713,0.0,0.00257372,3.392e-05,0.0042101199999999995
2763,0.0,0.0025737599999999996,3.632e-05,0.00436468
2813,0.0,0.00257348,3.384e-05,0.0041686
2863,0.0,0.0025735599999999995,3.168e-05,0.00405976
2913,0.0,0.00254724,3.472e-05,0.004258
2963,0.0,0.00250324,3.124e-05,0.00399988
3013,0.0,0.0024598,3.404e-05,0.0041828
3063,0.0,0.00241616,3.4e-05,0.0041738
3113,0.0,0.0023726000000000003,3.5720000000000004e-05,0.00429732
3163,0.0,0.00235524,3.34e-05,0.0040986799999999995
3213,0.0,0.0023558800000000003,3.964e-05,0.00454632
3263,0.0,0.0023558000000000003,3.484e-05,0.00424452
3313,0.0,0.00235588,4.1920000000000005e-05,0.0047472799999999996
3363,0.0,0.0023554,3.7760000000000004e-05,0.00447496
3413,0.0,0.00235576,4.364e-05,0.0049279200000000006
3463,0.0,0.00235584,3.8e-05,0.00454488
3513,0.0,0.002356,3.9920000000000004e-05,0.004657
3563,0.0,0.00235624,3.464e-05,0.004288800000000001
3613,0.0,0.0023387200000000003,3.672e-05,0.004430399999999999
3663,0.0,0.0023031600000000003,3.1440000000000004e-05,0.00407428
3713,0.0,0.0022671199999999996,3.016e-05,0.0040133600000000005
3763,0.0,0.0022315200000000003,2.9239999999999998e-05,0.0039546799999999995
3813,0.0,0.00219572,2.9800000000000003e-05,0.00398888
3863,0.0,0.0021778,3.404e-05,0.00425516
3913,0.0,0.00217764,3.016e-05,0.003991639999999999
3963,0.0,0.0021778,2.844e-05,0.00384452
4013,0.0,0.0021779200000000003,2.756e-05,0.00377816
4063,0.0,0.0021778,3.0720000000000004e-05,0.00402684
4113,0.0,0.00217824,2.7640000000000003e-05,0.00383628
4163,0.0,0.0021782000000000004,3.112e-05,0.0040384
4213,0.0,0.00217804,3.336e-05,0.0041852
4263,0.0,0.00217792,3.5999999999999994e-05,0.00439184
4313,0.0,0.0021644800000000003,3.336e-05,0.004146080000000001
4363,0.0,0.00213044,3.3440000000000005e-05,0.0041322799999999995
4413,0.0,0.0020964,3.472e-05,0.00424744
4463,0.0,0.00206252,3.6200000000000006e-05,0.00438048
4513,0.0,0.0020281200000000004,3.852e-05,0.0044836
4563,0.0,0.0020076,3.9040000000000006e-05,0.00460504
4613,0.0,0.0020074800000000003,4.2159999999999996e-05,0.00484836
4663,0.0,0.0020076399999999998,4.284e-05,0.004947719999999999
4713,0.0,0.00200804,4.464e-05,0.00515452
4763,0.0,0.00200848,4.368e-05,0.00522056
4813,0.0,0.00200876,4.116e-05,0.00505572
4863,0.0,0.00200852,3.9040000000000006e-05,0.00494612
4913,0.0,0.0020083200000000005,3.7399999999999994e-05,0.004810440000000001
4963,0.0,0.00200788,3.52e-05,0.0045803599999999995
5013,0.0,0.00199648,3.12e-05,0.00424332
5063,0.0,0.00195924,3.2999999999999996e-05,0.004335
5113,0.0,0.0019222,3.172000000000001e-05,0.004207880000000001
5163,0.0,0.0018850400000000002,3.1559999999999996e-05,0.00418364
5213,0.0,0.00184768,3.108e-05,0.0041672
5263,0.0,0.00182204,3.244e-05,0.004282
5313,0.0,0.00182212,3.7840000000000004e-05,0.004596959999999999
5363,0.0,0.0018222800000000001,3.724e-05,0.00458048
5413,0.0,0.0018226,3.9e-05,0.00466956
5463,0.0,0.0018227599999999999,3.7159999999999997e-05,0.00452648
5513,0.0,0.0018226800000000001,3.972e-05,0.00465324
5563,0.0,0.00182228,3.22e-05,0.004193960000000001
5613,0.0,0.00182188,3.66e-05,0.0044996
5663,0.0,0.0018214799999999999,3.608e-05,0.0045407600000000005
5713,0.0,0.00181396,3.724e-05,0.00463432
5763,0.0,0.0017759999999999998,3.956e-05,0.00476216
5813,0.0,0.0017385200000000001,4.104e-05,0.004872
