steps,rewards,epsilon
360,0.0,0.97624
720,0.0,0.94825
1080,0.0,0.92112
1440,0.0,0.89482
1800,0.0,0.86934
2160,0.0,0.84464
2520,0.0,0.82069
2880,0.0,0.79749
3240,0.0,0.775
3600,0.0,0.7532
3960,0.0,0.73208
4320,0.0,0.7116
4680,0.0,0.69176
5040,0.0,0.67252
5400,0.0,0.65388
5760,0.0,0.63581
6120,0.0,0.6183
6340,0.45,0.60786
6700,0.0,0.59121
7060,0.0,0.57507
7420,0.0,0.55943
7780,0.0,0.54427
8140,0.0,0.52957
8500,0.0,0.51533
8582,0.795,0.51215
8857,0.3125,0.50164
8911,0.865,0.49961
9083,0.57,0.49319
9328,0.3875,0.48421
9469,0.6475,0.47914
9647,0.555,0.47281
10007,0.0,0.46032
10193,0.535,0.45401
10553,0.0,0.4421
10913,0.0,0.43055
11273,0.0,0.41935
11633,0.0,0.4085
11901,0.33,0.40064
12261,0.0,0.39037
12469,0.48,0.38458
12603,0.665,0.3809
12784,0.5475,0.37601
12964,0.55,0.37121
13324,0.0,0.36184
13684,0.0,0.35276
13914,0.425,0.34711
14111,0.5075,0.34236
14167,0.86,0.34102
14266,0.7525,0.33867
14427,0.5975,0.3349
14649,0.445,0.32978
14722,0.8175,0.32812
14803,0.7975,0.32629
14885,0.795,0.32445
15189,0.24,0.31774
15312,0.6925,0.31507
15397,0.7875,0.31325
15452,0.8625,0.31207
15485,0.9175,0.31137
15579,0.765,0.30938
15682,0.7425,0.30722
15768,0.785,0.30544
15868,0.75,0.30337
15902,0.915,0.30268
15936,0.915,0.30198
15978,0.895,0.30112
16050,0.82,0.29966
16111,0.8475,0.29843
16140,0.9275,0.29785
16240,0.75,0.29586
16284,0.89,0.29498
16307,0.9425,0.29453
16391,0.79,0.29287
16441,0.875,0.29189
16579,0.655,0.28921
16633,0.865,0.28817
16688,0.8625,0.28712
16734,0.885,0.28624
16831,0.7575,0.2844
16948,0.7075,0.2822
16984,0.91,0.28153
17064,0.8,0.28004
17126,0.845,0.2789
17172,0.885,0.27805
17199,0.9325,0.27756
17271,0.82,0.27625
17302,0.9225,0.27568
17330,0.93,0.27518
17390,0.85,0.27409
17410,0.95,0.27373
17435,0.9375,0.27328
17452,0.9575,0.27298
17472,0.95,0.27262
17503,0.9225,0.27207
17524,0.9475,0.2717
17546,0.945,0.2713
17573,0.9325,0.27083
17595,0.945,0.27044
17626,0.9225,0.26989
17649,0.9425,0.26948
17667,0.955,0.26917
17688,0.9475,0.2688
17724,0.91,0.26817
17745,0.9475,0.2678
17762,0.9575,0.26751
17819,0.8575,0.26651
17836,0.9575,0.26622
17858,0.945,0.26584
17896,0.905,0.26518
17926,0.925,0.26467
17942,0.96,0.26439
17980,0.905,0.26374
17995,0.9625,0.26349
18024,0.9275,0.26299
18071,0.8825,0.26219
18091,0.95,0.26185
18111,0.95,0.26152
18135,0.94,0.26111
18165,0.925,0.26061
18179,0.965,0.26037
18199,0.95,0.26003
18229,0.925,0.25953
18249,0.95,0.2592
18270,0.9475,0.25885
18287,0.9575,0.25856
18314,0.9325,0.25812
18338,0.94,0.25772
18359,0.9475,0.25737
18381,0.945,0.25701
18397,0.96,0.25674
18411,0.965,0.25651
18434,0.9425,0.25613
18456,0.945,0.25577
18491,0.9125,0.2552
18513,0.945,0.25484
18544,0.9225,0.25433
18559,0.9625,0.25409
18605,0.885,0.25334
18634,0.9275,0.25287
18668,0.915,0.25233
18700,0.92,0.25181
18726,0.935,0.25139
18765,0.9025,0.25077
18783,0.955,0.25048
18809,0.935,0.25007
18826,0.9575,0.2498
18840,0.965,0.24958
18886,0.885,0.24885
18910,0.94,0.24847
18948,0.905,0.24787
18965,0.9575,0.2476
18984,0.9525,0.24731
19008,0.94,0.24693
19050,0.895,0.24627
19077,0.9325,0.24585
19108,0.9225,0.24537
19130,0.945,0.24503
19153,0.9425,0.24468
19170,0.9575,0.24441
19208,0.905,0.24383
19226,0.955,0.24355
19281,0.8625,0.24271
19346,0.8375,0.24172
19378,0.92,0.24124
19424,0.885,0.24054
19445,0.9475,0.24023
19464,0.9525,0.23994
19478,0.965,0.23973
19504,0.935,0.23934
19523,0.9525,0.23906
19545,0.945,0.23873
19576,0.9225,0.23826
19630,0.865,0.23746
19670,0.9,0.23687
19691,0.9475,0.23656
19726,0.9125,0.23605
19748,0.945,0.23572
19771,0.9425,0.23539
19796,0.9375,0.23502
19815,0.9525,0.23474
19841,0.935,0.23437
19856,0.9625,0.23415
19871,0.9625,0.23393
19890,0.9525,0.23365
19906,0.96,0.23342
19924,0.955,0.23316
19943,0.9525,0.23289
19961,0.955,0.23263
19978,0.9575,0.23238
19993,0.9625,0.23217
20010,0.9575,0.23193
20029,0.9525,0.23165
20045,0.96,0.23142
20091,0.885,0.23077
20107,0.96,0.23054
