steps,rewards,epsilon
360,0.0,0.97624
720,0.0,0.94825
1080,0.0,0.92112
1440,0.0,0.89482
1800,0.0,0.86934
2160,0.0,0.84464
2520,0.0,0.82069
2880,0.0,0.79749
3240,0.0,0.775
3600,0.0,0.7532
3925,0.1875,0.7341
4285,0.0,0.71356
4645,0.0,0.69366
5005,0.0,0.67437
5365,0.0,0.65567
5725,0.0,0.63754
6085,0.0,0.61998
6445,0.0,0.60295
6588,0.6425,0.59634
6948,0.0,0.58004
7308,0.0,0.56424
7668,0.0,0.54893
8028,0.0,0.53409
8388,0.0,0.51971
8566,0.555,0.51277
8843,0.3075,0.50217
9203,0.0,0.48877
9531,0.18,0.47692
9891,0.0,0.4643
10251,0.0,0.45207
10572,0.1975,0.44148
10852,0.3,0.43248
10946,0.765,0.42951
11055,0.7275,0.42609
11113,0.855,0.42428
11193,0.8,0.42181
11261,0.83,0.41972
11350,0.7775,0.417
11517,0.5825,0.41196
11572,0.8625,0.41032
11619,0.8825,0.40892
11679,0.85,0.40714
11732,0.8675,0.40558
11950,0.455,0.39923
11986,0.91,0.39819
12041,0.8625,0.39661
12128,0.7825,0.39413
12170,0.895,0.39294
12206,0.91,0.39192
12231,0.9375,0.39121
12342,0.7225,0.3881
12460,0.705,0.38483
12487,0.9325,0.38408
12533,0.885,0.38282
12600,0.8325,0.38099
12626,0.935,0.38028
12768,0.645,0.37644
12821,0.8675,0.37501
12845,0.94,0.37437
13205,0.0,0.36491
13273,0.83,0.36315
13324,0.8725,0.36184
13356,0.92,0.36102
13382,0.935,0.36036
13420,0.905,0.35939
13487,0.8325,0.3577
13505,0.955,0.35724
13860,0.1125,0.34843
13910,0.875,0.34721
13928,0.955,0.34677
13947,0.9525,0.34631
13969,0.945,0.34578
14003,0.915,0.34495
14056,0.8675,0.34368
14081,0.9375,0.34308
14116,0.9125,0.34224
14149,0.9175,0.34145
14181,0.92,0.34069
14216,0.9125,0.33986
14274,0.855,0.33849
14313,0.9025,0.33757
14342,0.9275,0.33689
14405,0.8425,0.33541
14427,0.945,0.3349
14444,0.9575,0.3345
14476,0.92,0.33376
14529,0.8675,0.33254
14546,0.9575,0.33214
14570,0.94,0.33159
14584,0.965,0.33127
14600,0.96,0.3309
14628,0.93,0.33026
14656,0.93,0.32962
14685,0.9275,0.32896
14708,0.9425,0.32844
14731,0.9425,0.32792
14752,0.9475,0.32744
14764,0.97,0.32717
14781,0.9575,0.32679
14795,0.965,0.32647
14814,0.9525,0.32604
14828,0.965,0.32573
14843,0.9625,0.32539
14865,0.945,0.3249
14914,0.8775,0.3238
14935,0.9475,0.32333
14949,0.965,0.32302
14973,0.94,0.32249
14987,0.965,0.32218
15002,0.9625,0.32185
15018,0.96,0.32149
15073,0.8625,0.32028
15112,0.9025,0.31942
15132,0.95,0.31898
15171,0.9025,0.31813
15210,0.9025,0.31728
15246,0.91,0.3165
15327,0.7975,0.31475
15360,0.9175,0.31404
15379,0.9525,0.31363
15417,0.905,0.31282
15460,0.8925,0.3119
15535,0.8125,0.31031
15560,0.9375,0.30978
15592,0.92,0.30911
15610,0.955,0.30873
15625,0.9625,0.30842
15661,0.91,0.30766
15696,0.9125,0.30693
15742,0.885,0.30598
15761,0.9525,0.30558
15862,0.7475,0.3035
15905,0.8925,0.30261
15925,0.95,0.30221
15957,0.92,0.30155
16040,0.7925,0.29987
16067,0.9325,0.29932
16116,0.8775,0.29833
16171,0.8625,0.29723
16224,0.8675,0.29617
16255,0.9225,0.29556
16282,0.9325,0.29502
16306,0.94,0.29455
16321,0.9625,0.29425
16407,0.785,0.29256
16451,0.89,0.2917
16501,0.875,0.29072
16536,0.9125,0.29004
16578,0.895,0.28923
16640,0.845,0.28804
16672,0.92,0.28742
16710,0.905,0.2867
16730,0.95,0.28632
16753,0.9425,0.28588
16811,0.855,0.28478
16828,0.9575,0.28446
16847,0.9525,0.2841
16866,0.9525,0.28374
16892,0.935,0.28325
16938,0.885,0.28239
16991,0.8675,0.2814
17015,0.94,0.28095
17032,0.9575,0.28064
17060,0.93,0.28012
17083,0.9425,0.27969
17099,0.96,0.2794
17118,0.9525,0.27905
17151,0.9175,0.27844
17173,0.945,0.27803
17193,0.95,0.27767
17220,0.9325,0.27717
17259,0.9025,0.27646
17279,0.95,0.2761
17299,0.95,0.27574
17327,0.93,0.27523
17343,0.96,0.27494
17356,0.9675,0.27471
17372,0.96,0.27442
17388,0.96,0.27413
17404,0.96,0.27384
17423,0.9525,0.2735
17436,0.9675,0.27327
17460,0.94,0.27284
17473,0.9675,0.2726
17501,0.93,0.2721
17514,0.9675,0.27187
17535,0.9475,0.2715
17562,0.9325,0.27102
17576,0.965,0.27077
17630,0.865,0.26982
17668,0.905,0.26915
17697,0.9275,0.26864
17754,0.8575,0.26764
17777,0.9425,0.26724
