steps,extrinsic,intrinsic,loss,td_std
313,0.0,0.00289252,0.00036636000000000004,0.00735796
363,0.0,0.00289332,8.72e-06,0.00277132
413,0.0,0.0028919600000000003,1.1079999999999999e-05,0.00295124
463,0.0,0.00289056,1.3840000000000001e-05,0.0032458799999999996
513,0.0,0.0028886000000000003,1.4360000000000001e-05,0.0032653599999999997
563,0.0,0.00288916,1.496e-05,0.00336292
613,0.0,0.00289184,1.6720000000000003e-05,0.00363676
663,0.0,0.0028937999999999998,1.3960000000000002e-05,0.00337672
713,0.0,0.0028953200000000003,1.4040000000000001e-05,0.00339248
763,0.0,0.00289528,1.5080000000000001e-05,0.0034574000000000002
813,0.0,0.0028332799999999997,1.712e-05,0.0035787199999999996
863,0.0,0.00276496,1.744e-05,0.00351004
913,0.0,0.0026969600000000004,1.8080000000000003e-05,0.003547
963,0.0,0.00262864,1.6960000000000004e-05,0.00342788
1013,0.0,0.002561,1.636e-05,0.0033912799999999996
1063,0.0,0.00255572,1.496e-05,0.0032727200000000002
1113,0.0,0.0025574400000000002,1.4080000000000002e-05,0.00316972
1163,0.0,0.0025594000000000003,1.568e-05,0.0033215600000000003
1213,0.0,0.00256248,1.548e-05,0.00331648
1263,0.0,0.00256444,1.56e-05,0.0033408800000000005
1313,0.0,0.00256616,1.5280000000000003e-05,0.0033010799999999996
1363,0.0,0.0025672,1.456e-05,0.00327292
1413,0.0,0.0025686399999999996,1.3680000000000001e-05,0.00319244
1463,0.0,0.00256916,1.5720000000000002e-05,0.0033150399999999996
1513,0.0,0.00252416,1.5960000000000003e-05,0.00335928
1563,0.0,0.0024661600000000002,1.832e-05,0.0035707200000000003
1613,0.0,0.0024092799999999998,2.1680000000000002e-05,0.00388992
1663,0.0,0.00235088,2.2800000000000002e-05,0.0040033199999999994
1713,0.0,0.0022926799999999996,2.432e-05,0.00420092
1763,0.0,0.00228072,2.5759999999999997e-05,0.00426712
1813,0.0,0.0022814,2.484e-05,0.004189839999999999
1863,0.0,0.00228148,2.392e-05,0.00403316
1913,0.0,0.0022823599999999998,2.576e-05,0.004184599999999999
1963,0.0,0.0022832,2.512e-05,0.00410236
2013,0.0,0.00228372,2.432e-05,0.0040158
2063,0.0,0.00228428,2.328e-05,0.00390204
2113,0.0,0.00228616,2.444e-05,0.00400528
2163,0.0,0.00228716,2.184e-05,0.0037397999999999997
2213,0.0,0.00225256,2.296e-05,0.00380788
2263,0.0,0.00220248,2.4480000000000003e-05,0.00395832
2313,0.0,0.00215212,2.596e-05,0.0040665200000000006
2363,0.0,0.00210016,2.3840000000000002e-05,0.00390672
2413,0.0,0.0020486400000000004,2.328e-05,0.00384868
2463,0.0,0.0020328800000000004,2.0680000000000002e-05,0.00363348
2513,0.0,0.0020328,1.976e-05,0.00353156
2563,0.0,0.00203324,1.924e-05,0.00348924
2613,0.0,0.00203248,2.18e-05,0.0036644399999999997
2663,0.0,0.00203208,2.36e-05,0.0038076
2713,0.0,0.0020306,2.604e-05,0.004052839999999999
2763,0.0,0.0020305600000000003,2.672e-05,0.00412888
2813,0.0,0.0020292000000000005,2.5600000000000002e-05,0.00403808
2863,0.0,0.00202992,2.408e-05,0.00390576
2913,0.0,0.0020017200000000002,2.436e-05,0.00394176
2963,0.0,0.00195548,2.164e-05,0.003658
3013,0.0,0.00190784,2.0320000000000002e-05,0.0035598
3063,0.0,0.00186128,2.192e-05,0.0036902399999999996
3113,0.0,0.0018136,2.044e-05,0.00359288
3163,0.0,0.0017947599999999998,1.832e-05,0.0034254000000000003
3213,0.0,0.0017948,1.616e-05,0.0032363599999999998
3263,0.0,0.0017951599999999999,1.364e-05,0.00294556
3313,0.0,0.0017948,1.32e-05,0.0028815200000000003
3363,0.0,0.00179484,1.412e-05,0.00294376
3413,0.0,0.0017948,1.396e-05,0.0029138799999999998
3463,0.0,0.0017947599999999998,1.628e-05,0.00313064
3513,0.0,0.00179448,2.012e-05,0.00351296
3563,0.0,0.0017943199999999999,1.9679999999999998e-05,0.0034934
3613,0.0,0.0017722799999999998,1.976e-05,0.00349372
3663,0.0,0.0017288000000000002,2.248e-05,0.00366752
3713,0.0,0.00168468,2.224e-05,0.0036558800000000002
3763,0.0,0.00164132,2.064e-05,0.00350216
3813,0.0,0.00159828,2.128e-05,0.00348876
3863,0.0,0.00157696,2.1560000000000004e-05,0.0034646399999999997
3913,0.0,0.0015778399999999998,2.0680000000000002e-05,0.00343188
3963,0.0,0.00157884,2.116e-05,0.0034414
4013,1.172e-05,0.00157904,2.552e-05,0.0038098800000000003
4063,2.344e-05,0.00157876,2.568e-05,0.00390232
4113,2.344e-05,0.00157884,2.492e-05,0.0039104000000000005
4163,2.344e-05,0.00157824,2.468e-05,0.00390256
4213,2.344e-05,0.00157864,2.4999999999999998e-05,0.0039318
4263,1.172e-05,0.00157888,2.112e-05,0.0036168800000000003
4313,0.0,0.00156412,2.3040000000000003e-05,0.00376616
4363,2.344e-05,0.00152352,2.3520000000000002e-05,0.00377224
4413,2.344e-05,0.00148372,2.316e-05,0.00370184
4463,2.344e-05,0.00144364,2.5e-05,0.0038399999999999997
4513,2.344e-05,0.0014035999999999999,2.588e-05,0.00389284
4563,2.344e-05,0.001379,2.2639999999999997e-05,0.00361896
4613,1.172e-05,0.0013796,2.348e-05,0.00368524
4663,3.5159999999999995e-05,0.00137988,2.5280000000000002e-05,0.00385236
4713,3.5159999999999995e-05,0.0013797199999999999,2.5319999999999998e-05,0.0038842000000000004
4763,3.5159999999999995e-05,0.00137984,2.464e-05,0.00384188
4813,3.5159999999999995e-05,0.00138012,2.648e-05,0.00399876
4863,3.5159999999999995e-05,0.0013810799999999998,2.792e-05,0.00413752
4913,1.172e-05,0.00138084,2.4999999999999998e-05,0.00391448
4963,4.688e-05,0.00138148,2.444e-05,0.00380672
5013,4.688e-05,0.00137024,2.352e-05,0.00372376
5063,4.688e-05,0.0013318,2.852e-05,0.0040644
5113,4.688e-05,0.0012925999999999999,3.0320000000000004e-05,0.00413896
5163,7.031999999999999e-05,0.00125464,3.108e-05,0.00422004
5213,5.86e-05,0.00121608,3.12e-05,0.00425804
5263,5.86e-05,0.00118916,3.184e-05,0.004316199999999999
5313,5.86e-05,0.0011893200000000002,2.8840000000000005e-05,0.00410136
5363,5.86e-05,0.0011899200000000001,2.4e-05,0.00375528
5413,3.5159999999999995e-05,0.0011903600000000001,2.516e-05,0.00380064
5463,2.3439999999999996e-05,0.0011903600000000001,2.58e-05,0.0038452
5513,2.3439999999999996e-05,0.001191,2.924e-05,0.00408176
5563,4.688e-05,0.00119148,2.84e-05,0.004028800000000001
5613,3.5159999999999995e-05,0.00119188,3.1e-05,0.00421888
5663,4.687999999999999e-05,0.00119172,3.272e-05,0.004359
5713,3.5159999999999995e-05,0.0011850399999999998,3.116e-05,0.0042556
5763,5.86e-05,0.0011497200000000001,2.7119999999999998e-05,0.00394752
5813,4.688e-05,0.00111416,2.572e-05,0.00381516
5863,4.688e-05,0.00107852,2.204e-05,0.00354728
5913,3.5159999999999995e-05,0.0010433600000000001,1.928e-05,0.00330852
5963,3.5159999999999995e-05,0.0010152000000000002,1.884e-05,0.0032582400000000004
6013,1.172e-05,0.00101456,1.904e-05,0.0032816799999999995
6063,0.0,0.00101452,2.052e-05,0.0033981999999999997
6113,0.0,0.00101428,2.4e-05,0.00366188
6163,0.0,0.00101428,2.316e-05,0.0036257999999999998
6213,0.0,0.0010139200000000002,2.5040000000000004e-05,0.00374144
6263,0.0,0.0010142,2.444e-05,0.00369508
6313,1.172e-05,0.0010141600000000003,2.296e-05,0.0035938800000000003
6363,1.172e-05,0.0010146000000000003,2.1519999999999997e-05,0.00349884
6413,1.172e-05,0.00101196,2.296e-05,0.0036194
6463,2.344e-05,0.0009851600000000001,1.9999999999999998e-05,0.00340224
6513,2.344e-05,0.00095832,2.264e-05,0.0036176000000000003
6563,1.172e-05,0.0009317200000000001,1.952e-05,0.0033908799999999998
6613,1.172e-05,0.00090464,1.86e-05,0.0033053600000000002
6663,1.172e-05,0.00088024,1.864e-05,0.00329548
6713,0.0,0.00088032,1.9080000000000004e-05,0.0033434
6763,1.172e-05,0.00088072,1.7239999999999998e-05,0.0032246799999999997
6813,1.172e-05,0.0008808399999999999,2.016e-05,0.00343316
6863,4.688e-05,0.00088128,2.4160000000000002e-05,0.00376116
6913,4.688e-05,0.0008816399999999999,2.596e-05,0.00387892
6963,8.704000000000001e-05,0.0008821600000000001,4.7760000000000004e-05,0.004552239999999999
7013,0.00011548,0.0008820400000000001,6.620000000000001e-05,0.00494332
7063,0.0001272,0.0008820799999999999,6.668e-05,0.00504896
7113,0.00014392000000000002,0.0008818000000000001,8.256000000000001e-05,0.0053606
7163,0.00018408,0.00086288,9.636e-05,0.0055479200000000005
7213,0.00014392000000000002,0.0008437200000000001,7.672000000000001e-05,0.00508244
7263,0.00010376000000000002,0.00082456,5.8439999999999996e-05,0.0047253600000000005
7313,9.204e-05,0.00080532,5.804e-05,0.004606239999999999
7363,5.1880000000000005e-05,0.00078608,3.956000000000001e-05,0.00403512
7413,1.172e-05,0.00078548,2.2599999999999997e-05,0.00361148
7463,1.172e-05,0.00078528,2.32e-05,0.00360472
7513,2.344e-05,0.0007858,2.5399999999999997e-05,0.00371364
7563,2.344e-05,0.00078568,2.5480000000000003e-05,0.0037488
7613,0.00010376000000000001,0.0007859999999999999,5.612e-05,0.004426039999999999
