steps,rewards,epsilon
360,0.0,0.97624
720,0.0,0.94825
1080,0.0,0.92112
1440,0.0,0.89482
1800,0.0,0.86934
2160,0.0,0.84464
2520,0.0,0.82069
2880,0.0,0.79749
3240,0.0,0.775
3600,0.0,0.7532
3948,0.13,0.73277
4308,0.0,0.71227
4668,0.0,0.69241
5028,0.0,0.67315
5388,0.0,0.65449
5748,0.0,0.6364
6108,0.0,0.61887
6468,0.0,0.60188
6828,0.0,0.58541
7188,0.0,0.56945
7548,0.0,0.55398
7908,0.0,0.53899
8268,0.0,0.52446
8628,0.0,0.51037
8988,0.0,0.49672
9348,0.0,0.48349
9708,0.0,0.47067
10068,0.0,0.45824
10428,0.0,0.44619
10626,0.505,0.43972
10986,0.0,0.42825
11346,0.0,0.41712
11706,0.0,0.40634
12066,0.0,0.39589
12426,0.0,0.38577
12786,0.0,0.37595
13146,0.0,0.36644
13506,0.0,0.35722
13866,0.0,0.34828
14226,0.0,0.33962
14586,0.0,0.33122
14925,0.1525,0.32356
15285,0.0,0.31566
15645,0.0,0.308
15775,0.675,0.30529
16135,0.0,0.29795
16495,0.0,0.29084
16823,0.18,0.28455
17183,0.0,0.27785
17543,0.0,0.27136
17750,0.4825,0.26771
18110,0.0,0.26153
18192,0.795,0.26015
18299,0.7325,0.25836
18537,0.405,0.25445
18714,0.5575,0.25159
19074,0.0,0.2459
19123,0.8775,0.24514
19230,0.7325,0.24349
19336,0.735,0.24187
19442,0.735,0.24027
19802,0.0,0.23493
19902,0.75,0.23348
19989,0.7825,0.23223
20048,0.8525,0.23138
20335,0.2825,0.22733
20370,0.9125,0.22685
20531,0.5975,0.22462
20604,0.8175,0.22363
20662,0.855,0.22284
20686,0.94,0.22252
20737,0.8725,0.22183
20762,0.9375,0.22149
20782,0.95,0.22122
20825,0.8925,0.22065
20908,0.7925,0.21954
21045,0.6575,0.21774
21083,0.905,0.21724
21128,0.8875,0.21665
21177,0.8775,0.21602
21192,0.9625,0.21582
21207,0.9625,0.21563
21281,0.815,0.21468
21302,0.9475,0.21441
21319,0.9575,0.21419
21363,0.89,0.21363
21385,0.945,0.21335
21432,0.8825,0.21275
21446,0.965,0.21258
21464,0.955,0.21235
21497,0.9175,0.21193
21518,0.9475,0.21167
21547,0.9275,0.2113
21563,0.96,0.2111
21578,0.9625,0.21092
21598,0.95,0.21067
21613,0.9625,0.21048
21630,0.9575,0.21027
21648,0.955,0.21004
21666,0.955,0.20982
21682,0.96,0.20962
21703,0.9475,0.20936
21727,0.94,0.20906
21743,0.96,0.20887
21763,0.95,0.20862
21781,0.955,0.2084
21797,0.96,0.2082
21813,0.96,0.20801
21838,0.9375,0.2077
21855,0.9575,0.20749
21888,0.9175,0.20709
21908,0.95,0.20685
21929,0.9475,0.20659
21948,0.9525,0.20636
21963,0.9625,0.20618
21983,0.95,0.20594
21999,0.96,0.20574
22015,0.96,0.20555
22032,0.9575,0.20535
22048,0.96,0.20515
22067,0.9525,0.20493
22083,0.96,0.20474
22106,0.9425,0.20446
22123,0.9575,0.20426
22142,0.9525,0.20403
22160,0.955,0.20382
22179,0.9525,0.20359
22196,0.9575,0.20339
22225,0.9275,0.20305
22248,0.9425,0.20277
22278,0.925,0.20242
22295,0.9575,0.20222
22321,0.935,0.20192
22340,0.9525,0.20169
22362,0.945,0.20144
22383,0.9475,0.20119
22405,0.945,0.20093
22427,0.945,0.20068
22454,0.9325,0.20036
22471,0.9575,0.20017
22497,0.935,0.19987
22520,0.9425,0.1996
22538,0.955,0.19939
22554,0.96,0.19921
22571,0.9575,0.19902
22585,0.965,0.19885
22599,0.965,0.19869
22632,0.9175,0.19832
22653,0.9475,0.19808
22675,0.945,0.19783
22695,0.95,0.1976
22718,0.9425,0.19734
22748,0.925,0.197
22765,0.9575,0.19681
22783,0.955,0.1966
22803,0.95,0.19638
22821,0.955,0.19618
22836,0.9625,0.19601
22855,0.9525,0.1958
22871,0.96,0.19562
22892,0.9475,0.19538
22916,0.94,0.19512
22931,0.9625,0.19495
22949,0.955,0.19475
22968,0.9525,0.19454
22990,0.945,0.19429
23041,0.8725,0.19373
23063,0.945,0.19349
23083,0.95,0.19327
23128,0.8875,0.19278
23167,0.9025,0.19235
23182,0.9625,0.19219
23201,0.9525,0.19198
23220,0.9525,0.19177
23246,0.935,0.19149
23263,0.9575,0.19131
23284,0.9475,0.19108
23298,0.965,0.19093
23314,0.96,0.19076
23328,0.965,0.19061
23348,0.95,0.19039
23367,0.9525,0.19019
23389,0.945,0.18995
23405,0.96,0.18978
23426,0.9475,0.18956
23441,0.9625,0.1894
23459,0.955,0.18921
23479,0.95,0.189
23494,0.9625,0.18884
23515,0.9475,0.18862
23536,0.9475,0.18839
23554,0.955,0.1882
23569,0.9625,0.18805
23594,0.9375,0.18778
23610,0.96,0.18762
