steps,rewards,epsilon
17281,0.9525,0.27606
17294,0.9675,0.27583
17315,0.9475,0.27545
17349,0.915,0.27483
17384,0.9125,0.2742
17423,0.9025,0.2735
17442,0.9525,0.27316
17463,0.9475,0.27278
17537,0.815,0.27146
17613,0.81,0.27012
17632,0.9525,0.26978
17658,0.935,0.26933
17688,0.925,0.2688
17706,0.955,0.26848
17741,0.9125,0.26787
17765,0.94,0.26745
17781,0.96,0.26717
17840,0.8525,0.26615
17851,0.9725,0.26596
17891,0.9,0.26527
17904,0.9675,0.26505
17916,0.97,0.26484
17937,0.9475,0.26448
17961,0.94,0.26407
17977,0.96,0.26379
17990,0.9675,0.26357
18030,0.9,0.26289
18054,0.94,0.26248
18078,0.94,0.26207
18090,0.97,0.26187
18101,0.9725,0.26169
18129,0.93,0.26121
18143,0.965,0.26098
18158,0.9625,0.26072
18169,0.9725,0.26054
18191,0.945,0.26017
18204,0.9675,0.25995
18243,0.9025,0.2593
18278,0.9125,0.25871
18306,0.93,0.25825
18345,0.9025,0.2576
18380,0.9125,0.25702
18422,0.895,0.25633
18449,0.9325,0.25589
18466,0.9575,0.25561
18495,0.9275,0.25513
18505,0.975,0.25497
18516,0.9725,0.25479
18527,0.9725,0.25461
18540,0.9675,0.2544
18555,0.9625,0.25415
18574,0.9525,0.25385
18589,0.9625,0.2536
18608,0.9525,0.25329
18620,0.97,0.2531
18634,0.965,0.25287
18644,0.975,0.25271
18665,0.9475,0.25237
18677,0.97,0.25218
18693,0.96,0.25192
18712,0.9525,0.25162
18723,0.9725,0.25144
18739,0.96,0.25119
18751,0.97,0.25099
18761,0.975,0.25083
18771,0.975,0.25067
18784,0.9675,0.25047
18797,0.9675,0.25026
18808,0.9725,0.25008
18827,0.9525,0.24978
18844,0.9575,0.24951
18863,0.9525,0.24921
18880,0.9575,0.24894
18893,0.9675,0.24874
18907,0.965,0.24852
18919,0.97,0.24833
18932,0.9675,0.24812
18961,0.9275,0.24767
18972,0.9725,0.24749
18986,0.965,0.24727
19002,0.96,0.24702
19016,0.965,0.24681
19038,0.945,0.24646
19051,0.9675,0.24626
19062,0.9725,0.24609
19075,0.9675,0.24589
19105,0.925,0.24542
19119,0.965,0.2452
19136,0.9575,0.24494
19151,0.9625,0.24471
19161,0.975,0.24455
19182,0.9475,0.24423
19193,0.9725,0.24406
19205,0.97,0.24388
19219,0.965,0.24366
19241,0.945,0.24332
19254,0.9675,0.24312
19299,0.8875,0.24244
19326,0.9325,0.24203
19348,0.945,0.24169
19371,0.9425,0.24134
19384,0.9675,0.24115
19403,0.9525,0.24086
19415,0.97,0.24068
19438,0.9425,0.24033
19453,0.9625,0.2401
19469,0.96,0.23986
19479,0.975,0.23971
19490,0.9725,0.23955
19500,0.975,0.2394
19512,0.97,0.23922
19523,0.9725,0.23906
19537,0.965,0.23885
19549,0.97,0.23867
19561,0.97,0.23849
19573,0.97,0.23831
19583,0.975,0.23816
19599,0.96,0.23792
19609,0.975,0.23777
19620,0.9725,0.23761
19632,0.97,0.23743
19644,0.97,0.23726
19659,0.9625,0.23703
19670,0.9725,0.23687
19688,0.955,0.23661
19701,0.9675,0.23641
19714,0.9675,0.23622
19739,0.9375,0.23586
