steps,rewards,epsilon
360,0.0,0.97624
720,0.0,0.94825
1080,0.0,0.92112
1440,0.0,0.89482
1800,0.0,0.86934
2160,0.0,0.84464
2520,0.0,0.82069
2880,0.0,0.79749
3049,0.5775,0.78685
3409,0.0,0.76468
3769,0.0,0.7432
4129,0.0,0.72239
4489,0.0,0.70221
4849,0.0,0.68265
5209,0.0,0.6637
5569,0.0,0.64533
5929,0.0,0.62752
6289,0.0,0.61026
6478,0.5275,0.60142
6721,0.3925,0.59025
7081,0.0,0.57414
7441,0.0,0.55853
7634,0.5175,0.55036
7723,0.7775,0.54664
7840,0.7075,0.54179
8008,0.58,0.53491
8048,0.9,0.53328
8096,0.88,0.53134
8192,0.76,0.52749
8552,0.0,0.51331
8732,0.55,0.50638
8782,0.875,0.50448
8833,0.8725,0.50255
8962,0.6775,0.49769
9082,0.7,0.49323
9139,0.8575,0.49112
9191,0.87,0.48921
9223,0.92,0.48804
9490,0.3325,0.47838
9738,0.38,0.46962
9907,0.5775,0.46375
10188,0.2975,0.45418
10243,0.8625,0.45233
10315,0.82,0.44993
10432,0.7075,0.44606
10541,0.7275,0.44249
10607,0.835,0.44034
10645,0.905,0.43911
10689,0.89,0.43769
10773,0.79,0.43499
10801,0.93,0.4341
10875,0.815,0.43175
10913,0.905,0.43055
10958,0.8875,0.42913
11014,0.86,0.42737
11052,0.905,0.42618
11078,0.935,0.42537
11108,0.925,0.42444
11142,0.915,0.42339
11176,0.915,0.42233
11198,0.945,0.42166
11222,0.94,0.42092
11245,0.9425,0.42021
11287,0.895,0.41892
11307,0.95,0.41831
11335,0.93,0.41746
11398,0.8425,0.41555
11431,0.9175,0.41455
11466,0.9125,0.41349
11503,0.9075,0.41238
11556,0.8675,0.41079
11650,0.765,0.408
11796,0.635,0.4037
11878,0.795,0.40131
11910,0.92,0.40038
12010,0.75,0.3975
12040,0.925,0.39664
12079,0.9025,0.39552
12099,0.95,0.39495
12140,0.8975,0.39379
12157,0.9575,0.3933
12179,0.945,0.39268
12204,0.9375,0.39198
12249,0.8875,0.39071
12325,0.81,0.38858
12349,0.94,0.38791
12368,0.9525,0.38738
12433,0.8375,0.38557
12454,0.9475,0.38499
12481,0.9325,0.38425
12512,0.9225,0.38339
12550,0.905,0.38235
12578,0.93,0.38159
12608,0.925,0.38077
12650,0.895,0.37962
12697,0.8825,0.37835
12749,0.87,0.37695
12792,0.8925,0.37579
12824,0.92,0.37493
12871,0.8825,0.37368
12955,0.79,0.37145
12986,0.9225,0.37063
13021,0.9125,0.36971
13052,0.9225,0.36889
13077,0.9375,0.36824
13098,0.9475,0.36769
13124,0.935,0.36701
13140,0.96,0.36659
13167,0.9325,0.36589
13195,0.93,0.36517
13258,0.8425,0.36354
13289,0.9225,0.36274
13345,0.86,0.36131
13379,0.915,0.36044
13401,0.945,0.35988
13419,0.955,0.35942
13447,0.93,0.35871
13480,0.9175,0.35787
13513,0.9175,0.35704
13562,0.8775,0.35581
13588,0.935,0.35516
13611,0.9425,0.35458
13652,0.8975,0.35356
13682,0.925,0.35281
13712,0.925,0.35207
13744,0.92,0.35128
13761,0.9575,0.35086
13788,0.9325,0.35019
13805,0.9575,0.34978
13833,0.93,0.34909
13859,0.935,0.34845
13877,0.955,0.34801
13911,0.915,0.34718
13958,0.8825,0.34604
13980,0.945,0.34551
14011,0.9225,0.34476
14035,0.94,0.34418
14060,0.9375,0.34358
14117,0.8575,0.34221
14140,0.9425,0.34166
14179,0.9025,0.34074
14207,0.93,0.34007
14232,0.9375,0.33948
14278,0.885,0.33839
14323,0.8875,0.33733
14358,0.9125,0.33651
14380,0.945,0.336
14407,0.9325,0.33537
14450,0.8925,0.33437
14521,0.8225,0.33272
14586,0.8375,0.33122
14609,0.9425,0.3307
14635,0.935,0.3301
14661,0.935,0.32951
14684,0.9425,0.32898
14704,0.95,0.32853
14725,0.9475,0.32805
14748,0.9425,0.32753
14776,0.93,0.3269
14915,0.6525,0.32378
14937,0.945,0.32329
14962,0.9375,0.32273
14981,0.9525,0.32231
15012,0.9225,0.32162
15034,0.945,0.32114
15059,0.9375,0.32059
15083,0.94,0.32006
15104,0.9475,0.3196
15125,0.9475,0.31914
15155,0.925,0.31848
15178,0.9425,0.31798
15202,0.94,0.31745
15223,0.9475,0.317
15243,0.95,0.31656
15268,0.9375,0.31602
15294,0.935,0.31546
15309,0.9625,0.31514
15329,0.95,0.31471
15345,0.96,0.31436
15365,0.95,0.31393
15384,0.9525,0.31353
15407,0.9425,0.31303
15432,0.9375,0.3125
15450,0.955,0.31212
15473,0.9425,0.31163
15492,0.9525,0.31122
15513,0.9475,0.31078
15537,0.94,0.31027
15566,0.9275,0.30966
15593,0.9325,0.30909
15622,0.9275,0.30848
15653,0.9225,0.30783
15704,0.8725,0.30677
15724,0.95,0.30635
