steps,rewards,epsilon
360,0.0,0.97624
720,0.0,0.94825
1080,0.0,0.92112
1440,0.0,0.89482
1800,0.0,0.86934
2160,0.0,0.84464
2520,0.0,0.82069
2880,0.0,0.79749
3240,0.0,0.775
3600,0.0,0.7532
3960,0.0,0.73208
4320,0.0,0.7116
4680,0.0,0.69176
5040,0.0,0.67252
5400,0.0,0.65388
5760,0.0,0.63581
6120,0.0,0.6183
6480,0.0,0.60132
6840,0.0,0.58487
7200,0.0,0.56893
7560,0.0,0.55348
7920,0.0,0.5385
8280,0.0,0.52398
8640,0.0,0.50991
9000,0.0,0.49627
9360,0.0,0.48306
9720,0.0,0.47025
10080,0.0,0.45783
10440,0.0,0.4458
10800,0.0,0.43413
11160,0.0,0.42283
11520,0.0,0.41187
11880,0.0,0.40125
12240,0.0,0.39096
12600,0.0,0.38099
12960,0.0,0.37132
13320,0.0,0.36195
13680,0.0,0.35286
14040,0.0,0.34406
14366,0.185,0.33632
14726,0.0,0.32803
15086,0.0,0.31999
15446,0.0,0.3122
15806,0.0,0.30465
16166,0.0,0.29733
16526,0.0,0.29024
16886,0.0,0.28336
17050,0.59,0.2803
17164,0.715,0.2782
17203,0.9025,0.27749
17563,0.0,0.271
17923,0.0,0.26472
18283,0.0,0.25863
18643,0.0,0.25273
19003,0.0,0.24701
19363,0.0,0.24146
19723,0.0,0.23609
20083,0.0,0.23088
20443,0.0,0.22583
20803,0.0,0.22094
21163,0.0,0.2162
21523,0.0,0.2116
21883,0.0,0.20715
22048,0.5875,0.20515
22266,0.455,0.20256
22626,0.0,0.19839
22986,0.0,0.19434
23346,0.0,0.19042
23537,0.5225,0.18838
23897,0.0,0.18464
24257,0.0,0.18102
24617,0.0,0.17751
24652,0.9125,0.17717
24744,0.77,0.17629
24879,0.6625,0.17502
24898,0.9525,0.17484
24927,0.9275,0.17457
25028,0.7475,0.17363
25052,0.94,0.17341
25077,0.9375,0.17317
25437,0.0,0.1699
25797,0.0,0.16673
25811,0.965,0.16661
25823,0.97,0.16651
25835,0.97,0.1664
25889,0.865,0.16594
25961,0.82,0.16532
26088,0.6825,0.16424
26104,0.96,0.16411
26118,0.965,0.16399
26131,0.9675,0.16388
26143,0.97,0.16378
26155,0.97,0.16368
26170,0.9625,0.16355
26182,0.97,0.16345
26201,0.9525,0.16329
26220,0.9525,0.16313
26232,0.97,0.16303
26273,0.8975,0.16269
26352,0.8025,0.16203
26371,0.9525,0.16188
26403,0.92,0.16161
26449,0.885,0.16124
26483,0.915,0.16096
26495,0.97,0.16086
26507,0.97,0.16076
26518,0.9725,0.16067
26535,0.9575,0.16053
26549,0.965,0.16042
26584,0.9125,0.16014
26602,0.955,0.15999
26635,0.9175,0.15972
26653,0.955,0.15958
26668,0.9625,0.15946
26683,0.9625,0.15934
26696,0.9675,0.15923
26717,0.9475,0.15907
26732,0.9625,0.15895
26750,0.955,0.1588
26761,0.9725,0.15871
26776,0.9625,0.15859
26792,0.96,0.15847
26804,0.97,0.15837
26817,0.9675,0.15827
26829,0.97,0.15817
26841,0.97,0.15808
26868,0.9325,0.15787
26883,0.9625,0.15775
26925,0.895,0.15742
26936,0.9725,0.15733
26994,0.855,0.15688
27012,0.955,0.15673
27036,0.94,0.15655
27068,0.92,0.1563
27079,0.9725,0.15621
27107,0.93,0.156
27130,0.9425,0.15582
27141,0.9725,0.15573
27173,0.92,0.15549
27184,0.9725,0.1554
27197,0.9675,0.1553
27209,0.97,0.15521
27235,0.935,0.15501
27249,0.965,0.1549
27263,0.965,0.1548
27305,0.895,0.15448
27324,0.9525,0.15433
27336,0.97,0.15424
27363,0.9325,0.15404
27377,0.965,0.15393
27389,0.97,0.15384
27405,0.96,0.15372
27431,0.935,0.15352
27442,0.9725,0.15344
27454,0.97,0.15335
27480,0.935,0.15316
27495,0.9625,0.15304
27611,0.71,0.15218
27637,0.935,0.15199
27652,0.9625,0.15188
27668,0.96,0.15176
27688,0.95,0.15161
27700,0.97,0.15152
27711,0.9725,0.15144
27722,0.9725,0.15136
28007,0.2875,0.1493
28019,0.97,0.14921
28032,0.9675,0.14912
28046,0.965,0.14902
28067,0.9475,0.14887
28084,0.9575,0.14875
28095,0.9725,0.14867
28109,0.965,0.14857
28120,0.9725,0.14849
28135,0.9625,0.14839
28166,0.9225,0.14817
28177,0.9725,0.14809
28192,0.9625,0.14798
28209,0.9575,0.14786
28220,0.9725,0.14779
28235,0.9625,0.14768
28247,0.97,0.1476
28266,0.9525,0.14746
28277,0.9725,0.14739
28290,0.9675,0.1473
28320,0.925,0.14709
28333,0.9675,0.147
28347,0.965,0.1469
28419,0.82,0.1464
28430,0.9725,0.14633
28457,0.9325,0.14614
28468,0.9725,0.14606
28483,0.9625,0.14596
28501,0.955,0.14584
28532,0.9225,0.14562
28557,0.9375,0.14545
