steps,rewards,epsilon
360,0.0,0.97624
720,0.0,0.94825
1080,0.0,0.92112
1440,0.0,0.89482
1800,0.0,0.86934
2160,0.0,0.84464
2520,0.0,0.82069
2880,0.0,0.79749
3240,0.0,0.775
3600,0.0,0.7532
3960,0.0,0.73208
4320,0.0,0.7116
4680,0.0,0.69176
5040,0.0,0.67252
5400,0.0,0.65388
5760,0.0,0.63581
6120,0.0,0.6183
6480,0.0,0.60132
6840,0.0,0.58487
7030,0.525,0.5764
7390,0.0,0.56071
7750,0.0,0.54551
8110,0.0,0.53078
8470,0.0,0.5165
8830,0.0,0.50266
9190,0.0,0.48925
9550,0.0,0.47625
9910,0.0,0.46364
10270,0.0,0.45143
10630,0.0,0.43959
10990,0.0,0.42812
11350,0.0,0.417
11710,0.0,0.40623
12070,0.0,0.39578
12430,0.0,0.38566
12486,0.86,0.38411
12696,0.475,0.37838
13056,0.0,0.36879
13416,0.0,0.3595
13745,0.1775,0.35125
13848,0.7425,0.34872
14208,0.0,0.34005
14568,0.0,0.33164
14860,0.27,0.32501
15220,0.0,0.31706
15580,0.0,0.30936
15940,0.0,0.3019
16300,0.0,0.29467
16465,0.5875,0.29142
16822,0.1075,0.28457
17182,0.0,0.27787
17462,0.3,0.2728
17564,0.745,0.27099
17924,0.0,0.2647
18284,0.0,0.25861
18644,0.0,0.25271
18877,0.4175,0.24899
18957,0.8,0.24773
19317,0.0,0.24216
19370,0.8675,0.24136
19730,0.0,0.23599
20090,0.0,0.23078
20450,0.0,0.22574
20810,0.0,0.22085
21155,0.1375,0.2163
21515,0.0,0.21171
21654,0.6525,0.20997
21714,0.85,0.20922
22074,0.0,0.20484
22434,0.0,0.2006
22762,0.18,0.19684
23122,0.0,0.19284
23211,0.7775,0.19187
23496,0.2875,0.18882
23856,0.0,0.18506
24124,0.33,0.18235
24229,0.7375,0.1813
24589,0.0,0.17778
24882,0.2675,0.17499
25242,0.0,0.17166
25381,0.6525,0.17041
25566,0.5375,0.16876
25926,0.0,0.16562
25974,0.88,0.16521
26332,0.105,0.1622
26392,0.85,0.1617
26437,0.8875,0.16133
26515,0.805,0.1607
26545,0.925,0.16045
26564,0.9525,0.1603
26605,0.8975,0.15997
26634,0.9275,0.15973
26650,0.96,0.1596
26684,0.915,0.15933
26784,0.75,0.15853
26852,0.83,0.15799
27212,0.0,0.15519
27259,0.8825,0.15483
27296,0.9075,0.15455
27347,0.8725,0.15416
27405,0.855,0.15372
27427,0.945,0.15355
27459,0.92,0.15331
27494,0.9125,0.15305
27522,0.93,0.15284
27621,0.7525,0.15211
27707,0.785,0.15147
27724,0.9575,0.15135
27819,0.7625,0.15065
27857,0.905,0.15038
27910,0.8675,0.14999
28112,0.495,0.14855
28195,0.7925,0.14796
28229,0.915,0.14772
28315,0.785,0.14712
28351,0.91,0.14687
28413,0.845,0.14644
28451,0.905,0.14618
28474,0.9425,0.14602
28502,0.93,0.14583
28543,0.8975,0.14555
28581,0.905,0.14529
28609,0.93,0.1451
28651,0.895,0.14482
28728,0.8075,0.1443
28769,0.8975,0.14402
28858,0.7775,0.14343
28908,0.875,0.1431
28948,0.9,0.14283
28986,0.905,0.14258
29005,0.9525,0.14246
29033,0.93,0.14227
29059,0.935,0.1421
29083,0.94,0.14195
29105,0.945,0.1418
29126,0.9475,0.14167
29155,0.9275,0.14148
29194,0.9025,0.14123
29211,0.9575,0.14112
29232,0.9475,0.14098
29252,0.95,0.14085
29278,0.935,0.14069
29298,0.95,0.14056
29316,0.955,0.14044
29334,0.955,0.14033
29354,0.95,0.1402
29375,0.9475,0.14007
29406,0.9225,0.13987
29438,0.92,0.13967
29457,0.9525,0.13955
29485,0.93,0.13937
29503,0.955,0.13926
29526,0.9425,0.13911
29547,0.9475,0.13898
29566,0.9525,0.13886
29606,0.9,0.13861
29631,0.9375,0.13846
29655,0.94,0.13831
29672,0.9575,0.1382
29695,0.9425,0.13806
29716,0.9475,0.13793
29736,0.95,0.13781
29751,0.9625,0.13772
29771,0.95,0.13759
29805,0.915,0.13738
29825,0.95,0.13726
29840,0.9625,0.13717
29864,0.94,0.13702
29885,0.9475,0.1369
29909,0.94,0.13675
29925,0.96,0.13665
29954,0.9275,0.13648
29973,0.9525,0.13636
29991,0.955,0.13626
30010,0.9525,0.13614
30027,0.9575,0.13604
30047,0.95,0.13592
30065,0.955,0.13581
30106,0.8975,0.13557
30126,0.95,0.13545
30238,0.72,0.13478
30276,0.905,0.13456
30302,0.935,0.13441
30323,0.9475,0.13428
30344,0.9475,0.13416
30359,0.9625,0.13407
30374,0.9625,0.13399
30390,0.96,0.13389
30406,0.96,0.1338
30423,0.9575,0.1337
30439,0.96,0.13361
30457,0.955,0.1335
30474,0.9575,0.13341
30493,0.9525,0.1333
30511,0.955,0.13319
30530,0.9525,0.13308
