steps,rewards,epsilon
360,0.0,0.97624
720,0.0,0.94825
1080,0.0,0.92112
1440,0.0,0.89482
1800,0.0,0.86934
2160,0.0,0.84464
2520,0.0,0.82069
2880,0.0,0.79749
3240,0.0,0.775
3600,0.0,0.7532
3960,0.0,0.73208
4320,0.0,0.7116
4680,0.0,0.69176
5040,0.0,0.67252
5400,0.0,0.65388
5760,0.0,0.63581
6120,0.0,0.6183
6480,0.0,0.60132
6840,0.0,0.58487
7200,0.0,0.56893
7560,0.0,0.55348
7920,0.0,0.5385
8274,0.115,0.52422
8634,0.0,0.51014
8994,0.0,0.4965
9354,0.0,0.48327
9714,0.0,0.47046
10074,0.0,0.45803
10434,0.0,0.44599
10794,0.0,0.43432
11154,0.0,0.42301
11514,0.0,0.41205
11874,0.0,0.40143
12234,0.0,0.39113
12594,0.0,0.38115
12954,0.0,0.37148
13314,0.0,0.3621
13674,0.0,0.35301
14034,0.0,0.34421
14394,0.0,0.33567
14754,0.0,0.3274
15114,0.0,0.31938
15474,0.0,0.31161
15717,0.3925,0.3065
16077,0.0,0.29912
16437,0.0,0.29197
16575,0.655,0.28929
16935,0.0,0.28244
17295,0.0,0.27581
17655,0.0,0.26938
18015,0.0,0.26315
18375,0.0,0.2571
18456,0.7975,0.25577
18816,0.0,0.24996
19176,0.0,0.24432
19311,0.6625,0.24225
19671,0.0,0.23686
20031,0.0,0.23162
20391,0.0,0.22655
20446,0.8625,0.22579
20806,0.0,0.2209
21147,0.1475,0.21641
21402,0.3625,0.21313
21762,0.0,0.20863
22122,0.0,0.20427
22482,0.0,0.20004
22842,0.0,0.19594
23065,0.4425,0.19347
23425,0.0,0.18957
23785,0.0,0.18579
24007,0.445,0.18352
24361,0.115,0.17999
24400,0.9025,0.17961
24416,0.96,0.17945
24481,0.8375,0.17882
24513,0.92,0.17851
24568,0.8625,0.17798
24594,0.935,0.17773
24614,0.95,0.17754
24626,0.97,0.17742
24684,0.855,0.17686
24695,0.9725,0.17676
24706,0.9725,0.17665
24850,0.64,0.17529
24945,0.7625,0.1744
24962,0.9575,0.17424
24989,0.9325,0.17399
25073,0.79,0.17321
25140,0.8325,0.17259
25164,0.94,0.17237
25188,0.94,0.17216
25215,0.9325,0.17191
25284,0.8275,0.17128
25316,0.92,0.17099
25572,0.36,0.1687
25779,0.4825,0.16689
25806,0.9325,0.16665
25983,0.5575,0.16513
26014,0.9225,0.16487
26033,0.9525,0.16471
26047,0.965,0.16459
26253,0.485,0.16286
26370,0.7075,0.16189
26381,0.9725,0.1618
26395,0.965,0.16168
26499,0.74,0.16083
26528,0.9275,0.16059
26608,0.8,0.15994
26648,0.9,0.15962
26662,0.965,0.15951
26680,0.955,0.15936
26691,0.9725,0.15927
26704,0.9675,0.15917
26771,0.8325,0.15863
26781,0.975,0.15856
26796,0.9625,0.15844
26824,0.93,0.15821
26845,0.9475,0.15805
26886,0.8975,0.15772
26926,0.9,0.15741
26943,0.9575,0.15727
26961,0.955,0.15713
26976,0.9625,0.15702
26988,0.97,0.15692
26999,0.9725,0.15684
27020,0.9475,0.15667
27037,0.9575,0.15654
27049,0.97,0.15645
27074,0.9375,0.15625
27088,0.965,0.15614
27107,0.9525,0.156
27126,0.9525,0.15585
27157,0.9225,0.15561
27168,0.9725,0.15553
27179,0.9725,0.15544
27190,0.9725,0.15536
27203,0.9675,0.15526
27214,0.9725,0.15517
27229,0.9625,0.15506
27246,0.9575,0.15493
27357,0.7225,0.15408
27369,0.97,0.15399
27380,0.9725,0.15391
27394,0.965,0.1538
27405,0.9725,0.15372
27416,0.9725,0.15364
27426,0.975,0.15356
27442,0.96,0.15344
27454,0.97,0.15335
27475,0.9475,0.15319
27492,0.9575,0.15307
27517,0.9375,0.15288
27531,0.965,0.15278
27572,0.8975,0.15247
27582,0.975,0.1524
27592,0.975,0.15232
27603,0.9725,0.15224
27616,0.9675,0.15214
27630,0.965,0.15204
27644,0.965,0.15194
27662,0.955,0.1518
27685,0.9425,0.15163
27695,0.975,0.15156
27709,0.965,0.15146
27722,0.9675,0.15136
27734,0.97,0.15127
27748,0.965,0.15117
27763,0.9625,0.15106
27774,0.9725,0.15098
27788,0.965,0.15088
27863,0.8125,0.15033
27874,0.9725,0.15025
27900,0.935,0.15007
27914,0.965,0.14997
27929,0.9625,0.14986
27939,0.975,0.14979
27950,0.9725,0.14971
27961,0.9725,0.14963
27973,0.97,0.14954
27983,0.975,0.14947
27993,0.975,0.1494
28004,0.9725,0.14932
28018,0.965,0.14922
28036,0.955,0.14909
28047,0.9725,0.14901
28058,0.9725,0.14893
28069,0.9725,0.14885
28085,0.96,0.14874
28098,0.9675,0.14865
28108,0.975,0.14858
28120,0.97,0.14849
28133,0.9675,0.1484
28212,0.8025,0.14784
28222,0.975,0.14777
28238,0.96,0.14766
