steps,rewards,epsilon
360,0.0,0.97624
494,0.665,0.96572
797,0.2425,0.94237
1157,0.0,0.91542
1517,0.0,0.8893
1877,0.0,0.86399
1985,0.73,0.85655
2310,0.1875,0.83457
2447,0.6575,0.82549
2807,0.0,0.80214
3167,0.0,0.77951
3527,0.0,0.75757
3887,0.0,0.73631
4247,0.0,0.7157
4384,0.6575,0.70803
4744,0.0,0.68829
4973,0.4275,0.67606
5045,0.82,0.67226
5336,0.2725,0.65715
5391,0.8625,0.65434
5544,0.6175,0.64658
5663,0.7025,0.64062
5793,0.675,0.63418
6091,0.255,0.61969
6149,0.855,0.61691
6254,0.7375,0.61192
6298,0.89,0.60984
6386,0.78,0.60571
6479,0.7675,0.60137
6534,0.8625,0.59882
6638,0.74,0.59404
6741,0.7425,0.58935
6780,0.9025,0.58758
6806,0.935,0.58641
7006,0.5,0.57746
7088,0.795,0.57384
7109,0.9475,0.57291
7202,0.7675,0.56884
7249,0.8825,0.5668
7317,0.83,0.56385
7374,0.8575,0.5614
7414,0.9,0.55968
7514,0.75,0.55542
7541,0.9325,0.55428
7622,0.7975,0.55086
7682,0.85,0.54835
7710,0.93,0.54718
7747,0.9075,0.54564
7786,0.9025,0.54402
7825,0.9025,0.5424
7878,0.8675,0.54022
7933,0.8625,0.53797
8048,0.7125,0.53328
8124,0.81,0.53022
8144,0.95,0.52941
8174,0.925,0.52821
8263,0.7775,0.52466
8324,0.8475,0.52224
8684,0.0,0.50822
8790,0.735,0.50418
8945,0.6125,0.49833
8982,0.9075,0.49695
9011,0.9275,0.49586
9077,0.835,0.49341
9104,0.9325,0.49241
9129,0.9375,0.49149
9195,0.835,0.48906
9263,0.83,0.48658
9290,0.9325,0.48559
9333,0.8925,0.48403
9375,0.895,0.48251
9413,0.905,0.48114
9444,0.9225,0.48003
9468,0.94,0.47917
9495,0.9325,0.47821
9511,0.96,0.47763
9539,0.93,0.47664
9573,0.915,0.47543
9604,0.9225,0.47433
9648,0.89,0.47278
9710,0.845,0.4706
9745,0.9125,0.46937
9770,0.9375,0.4685
9802,0.92,0.46738
9842,0.9,0.46599
9877,0.9125,0.46478
9909,0.92,0.46368
9948,0.9025,0.46234
9973,0.9375,0.46148
10001,0.93,0.46052
10055,0.865,0.45868
10079,0.94,0.45786
10110,0.9225,0.45681
10140,0.925,0.4558
10186,0.885,0.45425
10217,0.9225,0.45321
10261,0.89,0.45173
10292,0.9225,0.4507
10335,0.8925,0.44927
10382,0.8825,0.44771
10435,0.8675,0.44596
10489,0.865,0.44419
10536,0.8825,0.44265
10571,0.9125,0.44151
10610,0.9025,0.44024
10667,0.8575,0.4384
10715,0.88,0.43685
10749,0.915,0.43576
10786,0.9075,0.43458
10808,0.945,0.43388
10826,0.955,0.4333
10849,0.9425,0.43257
10881,0.92,0.43156
10903,0.945,0.43086
10925,0.945,0.43017
10958,0.9175,0.42913
11001,0.8925,0.42778
11026,0.9375,0.42699
11047,0.9475,0.42634
11094,0.8825,0.42487
11112,0.955,0.42432
11132,0.95,0.42369
11155,0.9425,0.42298
11252,0.7575,0.42
11289,0.9075,0.41886
11313,0.94,0.41813
11337,0.94,0.4174
11378,0.8975,0.41615
11394,0.96,0.41567
11417,0.9425,0.41497
11444,0.9325,0.41416
11469,0.9375,0.4134
11483,0.965,0.41298
11501,0.955,0.41244
11533,0.92,0.41148
11558,0.9375,0.41074
11580,0.945,0.41008
11602,0.945,0.40942
11625,0.9425,0.40874
11654,0.9275,0.40788
11683,0.9275,0.40702
11711,0.93,0.4062
11736,0.9375,0.40546
11759,0.9425,0.40478
11774,0.9625,0.40435
11799,0.9375,0.40361
11844,0.8875,0.4023
11870,0.935,0.40154
11943,0.8175,0.39943
11983,0.9,0.39828
12004,0.9475,0.39767
12052,0.88,0.3963
12073,0.9475,0.39569
12115,0.895,0.3945
12156,0.8975,0.39333
12176,0.95,0.39277
12196,0.95,0.3922
12230,0.915,0.39124
12249,0.9525,0.39071
12334,0.7875,0.38833
12355,0.9475,0.38774
12375,0.95,0.38718
12391,0.96,0.38674
12409,0.955,0.38624
12444,0.9125,0.38527
12471,0.9325,0.38452
12487,0.96,0.38408
12512,0.9375,0.38339
12558,0.885,0.38213
12583,0.9375,0.38145
12606,0.9425,0.38082
12626,0.95,0.38028
12644,0.955,0.37979
12669,0.9375,0.37911
12708,0.9025,0.37805
12729,0.9475,0.37749
12756,0.9325,0.37676
12776,0.95,0.37622
12812,0.91,0.37525
12841,0.9275,0.37448
12871,0.925,0.37368
12895,0.94,0.37304
12915,0.95,0.37251
12930,0.9625,0.37211
12952,0.945,0.37153
12982,0.925,0.37074
13009,0.9325,0.37002
13049,0.9,0.36897
13067,0.955,0.3685
13086,0.9525,0.368
13117,0.9225,0.36719
13134,0.9575,0.36675
13158,0.94,0.36613
13171,0.9675,0.36579
13193,0.945,0.36522
13240,0.8825,0.364
13260,0.95,0.36349
13354,0.765,0.36108
13381,0.9325,0.36039
13412,0.9225,0.3596
13438,0.935,0.35894
13455,0.9575,0.35851
13509,0.865,0.35714
13548,0.9025,0.35616
13569,0.9475,0.35563
13587,0.955,0.35518
13626,0.9025,0.35421
13649,0.9425,0.35363
13667,0.955,0.35319
13690,0.9425,0.35262
13717,0.9325,0.35195
13740,0.9425,0.35138
13763,0.9425,0.35081
13778,0.9625,0.35044
13797,0.9525,0.34997
13822,0.9375,0.34936
13836,0.965,0.34902
13860,0.94,0.34843
13874,0.965,0.34809
13894,0.95,0.3476
13912,0.955,0.34716
13937,0.9375,0.34655
13961,0.94,0.34597
13987,0.935,0.34534
14020,0.9175,0.34454
14059,0.9025,0.3436
14087,0.93,0.34293
14128,0.8975,0.34195
14149,0.9475,0.34145
14171,0.945,0.34093
14204,0.9175,0.34014
14231,0.9325,0.3395
14256,0.9375,0.33891
14277,0.9475,0.33841
14291,0.965,0.33808
14314,0.9425,0.33754
14347,0.9175,0.33677
14383,0.91,0.33593
14401,0.955,0.33551
14435,0.915,0.33471
14452,0.9575,0.33432
14474,0.945,0.33381
14507,0.9175,0.33304
14532,0.9375,0.33247
14564,0.92,0.33173
14599,0.9125,0.33093
14633,0.915,0.33015
14660,0.9325,0.32953
14687,0.9325,0.32892
14705,0.955,0.32851
14725,0.95,0.32805
14744,0.9525,0.32762
14761,0.9575,0.32724
14780,0.9525,0.32681
14801,0.9475,0.32633
14817,0.96,0.32597
14835,0.955,0.32557
14851,0.96,0.32521
14868,0.9575,0.32483
14892,0.94,0.32429
14937,0.8875,0.32329
14976,0.9025,0.32242
14991,0.9625,0.32209
15012,0.9475,0.32162
15028,0.96,0.32127
15063,0.9125,0.3205
15087,0.94,0.31997
15107,0.95,0.31953
15128,0.9475,0.31907
15147,0.9525,0.31865
15166,0.9525,0.31824
15181,0.9625,0.31791
15200,0.9525,0.3175
15215,0.9625,0.31717
15236,0.9475,0.31672
15252,0.96,0.31637
15279,0.9325,0.31578
15292,0.9675,0.3155
15308,0.96,0.31516
15328,0.95,0.31473
15352,0.94,0.31421
15384,0.92,0.31353
15411,0.9325,0.31295
15432,0.9475,0.3125
15449,0.9575,0.31214
15480,0.9225,0.31148
15496,0.96,0.31114
15518,0.945,0.31067
15536,0.955,0.31029
15554,0.955,0.30991
15574,0.95,0.30949
15591,0.9575,0.30913
15612,0.9475,0.30869
15628,0.96,0.30835
15645,0.9575,0.308
15668,0.9425,0.30752
15702,0.915,0.30681
15724,0.945,0.30635
15740,0.96,0.30602
15759,0.9525,0.30562
15781,0.945,0.30517
15803,0.945,0.30471
15820,0.9575,0.30436
15838,0.955,0.30399
15859,0.9475,0.30356
15879,0.95,0.30315
15900,0.9475,0.30272
15919,0.9525,0.30233
15956,0.9075,0.30157
15980,0.94,0.30108
16000,0.95,0.30068
16019,0.9525,0.30029
16038,0.9525,0.29991
16057,0.9525,0.29952
16080,0.9425,0.29906
16098,0.955,0.2987
16118,0.95,0.29829
16145,0.9325,0.29775
16165,0.95,0.29735
16194,0.9275,0.29677
16209,0.9625,0.29647
16226,0.9575,0.29613
16253,0.9325,0.2956
16273,0.95,0.2952
16289,0.96,0.29488
16308,0.9525,0.29451
16322,0.965,0.29423
16336,0.965,0.29395
16363,0.9325,0.29342
16385,0.945,0.29299
16400,0.9625,0.2927
16417,0.9575,0.29236
16440,0.9425,0.29191
16454,0.965,0.29164
16467,0.9675,0.29139
16485,0.955,0.29104
16500,0.9625,0.29074
16513,0.9675,0.29049
16526,0.9675,0.29024
16545,0.9525,0.28987
16562,0.9575,0.28954
16577,0.9625,0.28925
16606,0.9275,0.28869
16631,0.9375,0.28821
16647,0.96,0.2879
16663,0.96,0.2876
16688,0.9375,0.28712
16703,0.9625,0.28683
16720,0.9575,0.28651
16750,0.925,0.28594
16770,0.95,0.28556
16789,0.9525,0.28519
16807,0.955,0.28485
16823,0.96,0.28455
16842,0.9525,0.28419
16885,0.8925,0.28338
16901,0.96,0.28308
16922,0.9475,0.28269
16944,0.945,0.28228
16959,0.9625,0.282
16978,0.9525,0.28164
16994,0.96,0.28134
17016,0.945,0.28093
17037,0.9475,0.28054
17054,0.9575,0.28023
17077,0.9425,0.2798
17103,0.935,0.27932
17118,0.9625,0.27905
17138,0.95,0.27868
17157,0.9525,0.27833
17176,0.9525,0.27798
17196,0.95,0.27761
17215,0.9525,0.27727
17231,0.96,0.27697
17253,0.945,0.27657
17268,0.9625,0.2763
17290,0.945,0.2759
17312,0.945,0.2755
17339,0.9325,0.27501
17365,0.935,0.27454
17382,0.9575,0.27424
17396,0.965,0.27398
17414,0.955,0.27366
17431,0.9575,0.27336
17445,0.965,0.27311
17464,0.9525,0.27277
17480,0.96,0.27248
17493,0.9675,0.27225
17508,0.9625,0.27198
17524,0.96,0.2717
17543,0.9525,0.27136
17558,0.9625,0.27109
17577,0.9525,0.27075
17591,0.965,0.27051
