steps,rewards,epsilon
360,0.0,0.97624
720,0.0,0.94825
1080,0.0,0.92112
1440,0.0,0.89482
1800,0.0,0.86934
2160,0.0,0.84464
2520,0.0,0.82069
2880,0.0,0.79749
3240,0.0,0.775
3600,0.0,0.7532
3960,0.0,0.73208
4320,0.0,0.7116
4482,0.595,0.70259
4842,0.0,0.68303
5202,0.0,0.66406
5562,0.0,0.64568
5922,0.0,0.62786
6282,0.0,0.61059
6565,0.2925,0.59739
6925,0.0,0.58106
7285,0.0,0.56524
7645,0.0,0.5499
8005,0.0,0.53503
8365,0.0,0.52062
8414,0.8775,0.51869
8493,0.8025,0.5156
8509,0.96,0.51498
8578,0.8275,0.5123
8674,0.76,0.5086
8836,0.595,0.50243
9097,0.3475,0.49267
9242,0.6375,0.48734
9292,0.875,0.48552
9337,0.8875,0.48389
9397,0.85,0.48172
9448,0.8725,0.47989
9470,0.945,0.4791
9511,0.8975,0.47763
9553,0.895,0.47614
9563,0.975,0.47578
9595,0.92,0.47465
9613,0.955,0.47401
9664,0.8725,0.47221
9730,0.835,0.4699
9755,0.9375,0.46902
9772,0.9575,0.46843
9816,0.89,0.4669
9829,0.9675,0.46645
9876,0.8825,0.46482
9906,0.925,0.46378
10117,0.4725,0.45658
10136,0.9525,0.45593
10271,0.6625,0.4514
10362,0.7725,0.44837
10644,0.295,0.43914
10653,0.9775,0.43885
10678,0.9375,0.43804
10704,0.935,0.43721
10733,0.9275,0.43628
10745,0.97,0.43589
10863,0.705,0.43213
10891,0.93,0.43124
10926,0.9125,0.43014
10941,0.9625,0.42966
10967,0.935,0.42884
10978,0.9725,0.4285
10996,0.955,0.42793
11014,0.955,0.42737
11024,0.975,0.42706
11060,0.91,0.42593
11076,0.96,0.42543
11119,0.8925,0.4241
11157,0.905,0.42292
11180,0.9425,0.42221
11205,0.9375,0.42144
11230,0.9375,0.42067
11245,0.9625,0.42021
11288,0.8925,0.41889
11319,0.9225,0.41795
11345,0.935,0.41716
11355,0.975,0.41685
11367,0.97,0.41649
11388,0.9475,0.41585
11489,0.7475,0.4128
11509,0.95,0.4122
11529,0.95,0.4116
11547,0.955,0.41106
11564,0.9575,0.41056
11576,0.97,0.4102
11590,0.965,0.40978
11617,0.9325,0.40898
11629,0.97,0.40862
11654,0.9375,0.40788
11677,0.9425,0.4072
11688,0.9725,0.40687
11709,0.9475,0.40626
11730,0.9475,0.40564
11748,0.955,0.40511
11759,0.9725,0.40478
11771,0.97,0.40443
11787,0.96,0.40396
11799,0.97,0.40361
11833,0.915,0.40262
11843,0.975,0.40233
11859,0.96,0.40186
11886,0.9325,0.40108
11929,0.8925,0.39983
11953,0.94,0.39914
11965,0.97,0.39879
12021,0.86,0.39718
12040,0.9525,0.39664
12057,0.9575,0.39615
12067,0.975,0.39587
12079,0.97,0.39552
12093,0.965,0.39512
12114,0.9475,0.39453
12151,0.9075,0.39348
12189,0.905,0.3924
12211,0.945,0.39178
12231,0.95,0.39121
12245,0.965,0.39082
12255,0.975,0.39054
12272,0.9575,0.39006
12309,0.9075,0.38902
12325,0.96,0.38858
12340,0.9625,0.38816
12362,0.945,0.38754
12377,0.9625,0.38713
12392,0.9625,0.38671
12408,0.96,0.38627
12426,0.955,0.38577
12445,0.9525,0.38524
12454,0.9775,0.38499
12465,0.9725,0.38469
12482,0.9575,0.38422
12501,0.9525,0.3837
12510,0.9775,0.38345
12528,0.955,0.38296
12543,0.9625,0.38254
12554,0.9725,0.38224
12569,0.9625,0.38183
12592,0.9425,0.3812
12632,0.9,0.38011
12656,0.94,0.37946
12669,0.9675,0.37911
12683,0.965,0.37873
12698,0.9625,0.37832
12711,0.9675,0.37797
12727,0.96,0.37754
12740,0.9675,0.37719
12757,0.9575,0.37673
12784,0.9325,0.37601
12805,0.9475,0.37544
12815,0.975,0.37517
12826,0.9725,0.37488
12841,0.9625,0.37448
12866,0.9375,0.37381
12879,0.9675,0.37347
12890,0.9725,0.37317
12901,0.9725,0.37288
12913,0.97,0.37256
12937,0.94,0.37193
12953,0.96,0.3715
12973,0.95,0.37097
12993,0.95,0.37045
13003,0.975,0.37018
13019,0.96,0.36976
13032,0.9675,0.36942
13059,0.9325,0.36871
13072,0.9675,0.36837
13090,0.955,0.3679
13108,0.955,0.36743
13118,0.975,0.36717
13142,0.94,0.36654
13161,0.9525,0.36605
13184,0.9425,0.36545
13194,0.975,0.36519
13206,0.97,0.36488
13254,0.88,0.36364
13272,0.955,0.36318
13295,0.9425,0.36259
13319,0.94,0.36197
13333,0.965,0.36161
13343,0.975,0.36136
13358,0.9625,0.36097
13373,0.9625,0.36059
13385,0.97,0.36029
13401,0.96,0.35988
13412,0.9725,0.3596
13422,0.975,0.35934
13433,0.9725,0.35906
13442,0.9775,0.35884
13460,0.955,0.35838
13470,0.975,0.35813
